HVH_012_0023_0001	九元丹 治脾腎虚寒
HVH_012_0023_0002	熟地八錢 製附子四錢 肉蔻麪炒二錢 焦姜
HVH_012_0023_0003	呉茱 補骨脂酒炒 萆薢炒五味
HVH_012_0023_0004	甘草炒一錢 爲丸
HVH_012_0023_0005	溫臟丸 治諸虫積餒亟而復者 多由臟
HVH_012_0023_0006	氣虚寒 宜溫健脾胃以杜其源
HVH_012_0023_0007	人参八錢 白朮米泔浸炒一両 當歸各錢 白芍酒炒
HVH_012_0023_0008	茯苓 川椒去合口者 炒去汗 細辛 肉 使君子
HVH_012_0023_0009	煨熟檳榔各二両 炮姜 呉茱酒浸宿炒一両
HVH_012_0023_0010	爲丸如桐子大 如臟寒者加製附子
HVH_012_0023_0011	一両 膨脹加黄連二両
HVH_012_0023_0012	聖朮丸
HVH_012_0023_0013	治飲食偶傷或吐或瀉胸膈
HVH_012_0023_0014	痞滿或脇肋疼痛或過用劫伐等証
HVH_012_0023_0015	白朮二両 乾姜炒 肉桂二両 陳皮三両
HVH_012_0023_0016	煎服
HVH_012_0023_0017	固陣
HVH_012_0023_0018	秘元煎
HVH_012_0023_0019	治遺精帶濁等証此方專主心脾
HVH_012_0023_0020	遠志八分炒 山藥五分炒 欠實二錢 枣仁炒研
