HVH_012_0029_0001	當歸 熟地各三 白芍酒炒 茯苓各二
HVH_012_0029_0002	甘草 乾薑炒 肉桂 細辛各一
HVH_012_0029_0003	清化飲 治婦人產後因火偏熱及血妄
HVH_012_0029_0004	行陰虧諸火不清等証
HVH_012_0029_0005	白芍 麥門冬三 丹皮 茯苓
HVH_012_0029_0006	黃芩 生地各二 石斛二
HVH_012_0029_0007	毓麟珠 治婦人氣血俱虛經脉不調
HVH_012_0029_0008	或愆期或帶濁或腹痛或腰痠或
HVH_012_0029_0009	飲食不甘瘦弱不孕服二斤即可受
HVH_012_0029_0010	胎凡種子諸方無以加此
HVH_012_0029_0011	人參 白朮土炒 茯苓 白芍酒炒
HVH_012_0029_0012	川芎 甘草 當歸 熟地各二両
HVH_012_0029_0013	杜仲酒炒 鹿角霜 川椒 各二両
HVH_012_0029_0014	賛育丹 治陽萎精衰虛寒無子等証
HVH_012_0029_0015	熟地酒蒸 白朮土炒 當歸 枸杞各三両
HVH_012_0029_0016	杜仲酒炒 仙茅酒蒸 巴戟肉甘草水製 山茱
HVH_012_0029_0017	萸酒蒸 淫羊藿羊脂拌 肉蓯蓉酒洗去甲 韭子炒黃
