HVH_012_0030_0001	蛇床子微炒 附子制 肉桂各二分
HVH_012_0030_0002	柴胡飲 治痧瘡初起發熱毒退無諦思
HVH_012_0030_0003	痧是邪若似之同均宜用此
HVH_012_0030_0004	當歸三分 白芍半 柴胡二 荊芥二
HVH_012_0030_0005	甘草七分
HVH_012_0030_0006	疎邪飲 治痧疹初起發熱血氣結盛無
HVH_012_0030_0007	藉滋補者單直解邪由此方為主以代
HVH_012_0030_0008	升麻葛根湯及赤葛湯等方最為妥
HVH_012_0030_0009	當 柴胡倍用 白芍隨用 蘇葉
HVH_012_0030_0010	荊芥穗 甘草減半
HVH_012_0030_0011	涼血養營煎 治痘瘡血熱地紅熱渴或
HVH_012_0030_0012	瘄不起及便結溺赤兒渴盛因虛等証
HVH_012_0030_0013	生地 當歸 白芍 甘草 地骨
HVH_012_0030_0014	此柴胡 黃芩 紅花
HVH_012_0030_0015	柴葛煎 治痧疹表裏俱熱散毒
HVH_012_0030_0016	險及瘟疫等証
HVH_012_0030_0017	柴胡 葛根 白芍 黃芩 連翹
HVH_012_0030_0018	甘草
