HVH_013_0003_0001	北寧省督學武魯庵（璠）先生場以下（評如）
HVH_013_0003_0002	問人主所以鼓動天下制馭臣民之權莫大於賞罰經云遏惡揚善傳
HVH_013_0003_0003	云舉直措枉其首有可繹攷書称堯舜不曰罰必及罪賞必及功而
HVH_013_0003_0004	曰罪疑惟輕功疑惟重盖有深意在也或謂有功不賞有罪不誅雖
HVH_013_0003_0005	唐虞不能以化天下亦可藥（謂）之為刻核之論乎阿墨大夫一封一烹
HVH_013_0003_0006	全斌曹彬一貶一賞賞罰如此得其當欤者之强於天下宋之平定
HVH_013_0003_0007	天下果全調於地利天命乎方今
HVH_013_0003_0008	聖天子光紹洪圖平治天下仰惟一政一令之施尤留於賞罰之意伊欲吏
HVH_013_0003_0009	称民安與古侔兮将何以致是歟
HVH_013_0003_0010	對古聞人君深居九重之上而敷化萬里之外所恃者賞罰而已何則
HVH_013_0003_0011	莫難統理者天下也操威福之柄而賞一人以勸天下萬人罰一人以
HVH_013_0003_0012	惧千万則四海之廣兆民之眾莫不奔走而奉承雖有絶倫之力高
HVH_013_0003_0013	世之才强且効忠宣力之不暇夫然後可以統萬國而理萬夫矣引
HVH_013_0003_0014	而伸之經傳之可載古後之可行一皆所謂賞罰人主之二柄所係夫
HVH_013_0003_0015	豈小哉盖賞以勸善罰以懲惡所以为馭煩制動之幾雖为治国
HVH_013_0003_0016	不但此二端而論其宰制天下之權則莫大於此奚易治哉一盖謂有
