HVH_013_0016_0001	孝二君、見容於高祖也、帝亦何見焉、
HVH_013_0016_0002	問仁憂者人主之術也、經云曰仁而憂、傳云曰仁由憂、其皆有可紓矣
HVH_013_0016_0003	三代之主仁而憂、隆所以享國至於長久也、仁而憂之師、未見有假仁
HVH_013_0016_0004	義、美行而其後漢唐之治、不古若因其宜矣、况其立國亦能享有
HVH_013_0016_0005	天祿、永其天命、果全開於此等憂之示化、綱之法攷、得國以强、而夫以
HVH_013_0016_0006	力、皆非仁漸憂漬之功、尚淪有宋代之治、殆有以超漢唐而追商
HVH_013_0016_0007	周、莫是固結維持、率由於後人之善守乎、方今
HVH_013_0016_0008	聖天子陰陽合德、健順爲資、其於著見者言之、仁育憂征、隨處豎願治
HVH_013_0016_0009	人心方在是矣、尤致近悅遠來、小懷大畏、于以靖綏國之休、其攸安妥、
HVH_013_0016_0010	對策聞人君統御之方、自有其不憂者、何以仁憂是也、蓋仁者、愛之
HVH_013_0016_0011	理也、愛人亦不外乎仁、則必庶衆深抒仰慕、憂者、事之宜也、制事尚
HVH_013_0016_0012	不失乎美、則下民樂于奉承、善用術者、其本不出此也、竊謂人
HVH_013_0016_0013	君若舍仁憂、何以哉、蓋徑偏方法、國有多端而治民之術、仁憂乃
HVH_013_0016_0014	其要也、必充君分之全、以致把持之要、然後民愛畏之、而君之能事畢
HVH_013_0016_0015	矣、夫子傳說卦云、孟子答王子墊云、蓋謂仁者陽剛之配、憂者
HVH_013_0016_0016	陰柔之配、人所以立是道也、一動一靜、不外乎仁憂、則地天之迹、可
