HVH_013_0017_0001	十五
HVH_013_0017_0002	參美仁者人之安宅美者人之正路士之所志與吾事也所居何由而必
HVH_013_0017_0003	主乎仁美則大人之事備矣經傳所言一則言立人之道一則論尚志
HVH_013_0017_0004	之事無非明仁美之術也三代明王夏商周可親之仁而美見於戮防
HVH_013_0017_0005	風舊武衛克仁者湯而以美制事至仁者武而行愃平殘王者之美
HVH_013_0017_0006	不偏天下之共淑也即人知此畏景炎冰惟極展治化之隆而夏四百
HVH_013_0017_0007	年商六百年周八百年均能有道之長以仁美之興隆也持王者莫
HVH_013_0017_0008	國之由則可例其餘美漢高祖興素服之師而必待於董公之說徒
HVH_013_0017_0009	假此以要天下之響應庶幾仁結美應之誠即漢治雜伯亦有但秦終不能
HVH_013_0017_0010	追死乎湯武虞太尊布拊寧之防而力行外徵之言信慕於緇衣
HVH_013_0017_0011	民於驩虞云美理、仁依以寰御唐治亦哀終非僅止不可以比迹於三
HVH_013_0017_0012	王治終不古因其宜美以王道律之漢唐固不及然少仁美見以暑
HVH_013_0017_0013	有得者弗不足以顧收其效或彼江中一觔羽之暴民所不堪于仁美
HVH_013_0017_0014	未明之始高祖有玆師而不忍以脅力何旣焮柱石乎綱常為美表徴
HVH_013_0017_0015	天下共軌于之美者何條即人愈和節美之為高自足以為培
HVH_013_0017_0016	植扶持之地四百餘年之漢仁美之所權輿刑慘五唐隨之乱民以
HVH_013_0017_0017	梁獸于絕綱未備之叔太尊所慕而不忍以刑罰驅已可飲食乎歲
