HVH_013_0020_0001	三百載之長亦係於行王之政矣其一雖則亡斯以不容憯然礼義
HVH_013_0020_0002	之示萬目燦然且本有此紀綱之法而尤係於仁義之效也
HVH_013_0020_0003	又漢高祖聞董公之說而興仁義之師視先王弔伐之仁則未見有假箇
HVH_013_0020_0004	不能迫收湯武之功然而荒霸之氣而興師致討此亦三王之率也可以
HVH_013_0020_0005	續綱瞢於既秦即可以激發乎天下其礼義之示者相表裏而國
HVH_013_0020_0006	家可以久安君不以久安而外徼之言而慕仁義之行視先王理懷之首則
HVH_013_0020_0007	慕行其浅者国不能進於霸王之或然承隋之乱而能飮褐食餽
HVH_013_0020_0008	此亦先王之道也可以歸斯民於離憂即可以固結乎人心而化綱
HVH_013_0020_0009	治法相修持而後世之憑藉此則本乎仁義国三代之所以長而一亦
HVH_013_0020_0010	是亦近乎仁義之效也此全调一式
HVH_013_0020_0011	先興府教授官撰以下
HVH_013_0020_0012	聖人敷道理服暴人大舜征苗伯益賛以惟德動天君陳治殷咸乂
HVH_013_0020_0013	告以明分感神夫文德素敷令名克彰似非不足於力者何以拳
HVH_013_0020_0014	拳於此或者負国特强雖以取勝易惑難曉術之将逼此何以可
HVH_013_0020_0015	素何治敬七旬而有苗来格三祀而殷民不变意者閭里之師臨
HVH_013_0020_0016	三年之教訓有以致乎戦国之衰秦世皆大國也孟子告齊梁曰參
