HVH_013_0028_0001	信示礼伯者之事与善尽規模次第有可见也而至人与徳与道
HVH_013_0028_0002	与者若县乎桓文之功非在春秋之所予欤万世有法而不能傳遠
HVH_013_0028_0003	防制有常而不可为强意者法令之行容有未纯兵财之制未有过
HVH_013_0028_0004	当可以县而专咎於二代欤
HVH_013_0028_0005	贅古帝尭治之序见於虞書尭典所書自钦明文思允恭克讓
HVH_013_0028_0006	九族平章协和而身而家而国无非此本一分以为修齐治平之规范
HVH_013_0028_0007	亦以至于卽政動以无所不至也极至設作用棬桮之意而礼乐敎
HVH_013_0028_0008	然着明徳一分为之綱領昔者文武经纶之道见於天保采薇之
HVH_013_0028_0009	雅由忠厚惻怛寛以愛人而燕使劳臣叙情敷为治内治外適詩寓意
HVH_013_0028_0010	意於燕享泳歌之乐卽作處何等廢弛博而数敷布弥纶与
HVH_013_0028_0011	用而政同利于四達後一宴为之纲维一亦有桓文之始分制國为子
HVH_013_0028_0012	一郷興塩以尽海利三遷而擇人相地而衰征圖伯之事有所自来
HVH_013_0028_0013	晋文之始也敎民以知義强民以懐生伐原示礼大蒐示信伯者
HVH_013_0028_0014	事与晋客皆語其規模次第盖有可见也然就中諭以美恶
HVH_013_0028_0015	後論方及先桓文其所致止誠以本領要人心必服凡所为只以规模
HVH_013_0028_0016	次第不过以此为圖伯之謀雖褒奖齊晉圣人固不予其尊周也
