HVH_013_0040_0001	不較馴曾可以少攘貽予召陵城濮之功圣人皆有取何也昭襄
HVH_013_0040_0002	圖伯而伐楚越王棲達交斉而伐外郛孔明結好吴而圖許洛夫山東裔為大
HVH_013_0040_0003	守宜两立孫權漢之賊寧可相容此等奉動事毋亦未究莫是演富
HVH_013_0040_0004	强兵秦斉何得曁吴弟若權対所以然欤六国見併三国称雄抑何所
HVH_013_0040_0005	以先取澤洛次取淮南大畧有可觀欤方其行師及於南唐蜀漢
HVH_013_0040_0006	而終鈞之世不如兵意者其漢無讐所以哀而不忍欤一奉而滅漢可
HVH_013_0040_0007	專歸興王之功乎
HVH_013_0040_0008	一桓公之伐楚雖強而未與中國並驅其勞獲可緩治則三十年而始有
HVH_013_0040_0009	次陘之奔徐梁者所以服其心文公之伐楚或強而至其中國致其勞
HVH_013_0040_0010	正可以急圖終四年而便興城濮以師連戰者所以挫其鋭所過使
HVH_013_0040_0011	然也策改一失序夫以江黃達於中國而其國則為利於強荆向背而
HVH_013_0040_0012	有庸中之重輕則管仲之言為過慮魯衛雖睦於楚而其地則近於
HVH_013_0040_0013	宋之侵伐而興師挈秦之要害則狐偃之言說為狹私謂之有見則
HVH_013_0040_0014	誠不可也独不闚楚莫強焉涉泗相與掎角不足以拔其齒而山東衆
HVH_013_0040_0015	邦江黃其大國礙其後而既斬楚人之右臂則諸國可爲之而當前
