HVH_013_0051_0001	独也曰若稽古率勳以型法至陟貞元之會礼步法度彰著
HVH_013_0051_0002	明見堯舜之心成功見唐虞所以盛也然法者徒法者式者求
HVH_013_0051_0003	興設后事于法度之詳求其枢机要不外一心之得其心則治可
HVH_013_0051_0004	得而言矣人心惟危道心惟微聖人所深憂也于二者之间惟精惟一
HVH_013_0051_0005	執厥中則礼樂由發法度由推五倫敷布之施設不外此心以運
HVH_013_0051_0006	用以治天下與天下大事也乃授受之際丁寧告戒惟在精一旨而法
HVH_013_0051_0007	度即不及者盖言心法則治法在其中矣見二帝之傳心而二帝之
HVH_013_0051_0008	致治可知矣三大節即財成輔相而綢繆則本乎一心五十年之憂慮
HVH_013_0051_0009	激昂而枢机則在乎一言之外以事業庸非藐焉之業有以致之乎
HVH_013_0051_0010	胡氏釋虞舜之美而以其實亦可謂知唐虞之治景矣從近於至聖人
HVH_013_0051_0011	之門者七十二子言夫子之言行夫子之行皆學聖人之初者也惟居敬
HVH_013_0051_0012	而工夫未到本心之分雖全用亦可施之一國一君未足以語夫王道之大
HVH_013_0051_0013	窺其乎顏子也從事於四勿之語而不遷怒不貳過致省察於人所
HVH_013_0051_0014	不見之處省其私為三月不違仁也此也庶幾乎已近於天理渾全之
HVH_013_0051_0015	境者方可以語王道四代礼樂之法式至人所以独許也自顏子
HVH_013_0051_0016	之所謂而顏子之所蘊可知矣使彼德博施于工夫既至本心
