HVH_013_0056_0001	即墨礼齋陳先生場文策
HVH_013_0056_0002	問用兵自有勝算三苗帝舜帝命徂征及三旬不服班師敷文而庶事格
HVH_013_0056_0003	黃帝者服叛原無完算有苗之至有出偶然攷啟之伐扈修德而扈自服
HVH_013_0056_0004	周文之伐崇修教而崇降詩大雅事何而甞相類湯武之師不再戰而克
HVH_013_0056_0005	烈烈抑何所由四國是皇豳風撥乱于夷小雅用兵有其道也伯禽行師或
HVH_013_0056_0006	称得周公之法宣王行師或称得吉南仲之執轡楚王美瞻力勝
HVH_013_0056_0007	士季瞻姜瞻荆楚之功也召陵之盟何独为序法之文晉悼伯業低瞻桓
HVH_013_0056_0008	齊八年田單火牛燕國乗枝曳柴八俊先伐礼具滴祚尊不知古之神謀
HVH_013_0056_0009	至算戰勝之礼又何在者鄧禹諸葛曕晟子僾宋理所以成破敵之功亦
HVH_013_0056_0010	有近乎突厥在唐太宗和戰蠃利所以制彼突及其家安左神武定天下
HVH_013_0056_0011	而乃留骨領通好漢高英武定天下而乃为契丹講和宋祖夫被堅执鋭
HVH_013_0056_0012	行戢三千年平城之围力少不能振貯帛積金緡満五千萬宋祖
HVH_013_0056_0013	幽燕以地求竟一日忘省底和戎息兵意亦有以權度此陵古馬強盛帝
HVH_013_0056_0014	而有漢地之征甲兵精銳而有涿州之戰唐後高祖之雙筆業云祖之慮其
HVH_013_0056_0015	将不在是乎主父偃之書有賢云跪何挙之於進諫改准桼之役柿其無
HVH_013_0056_0016	断乃成唐憲信其然也晋武平吴独断而克苻堅伐晋独断而亡何
