HVH_013_0061_0001	兵團結鄉兵以補揀兵之缺如唐之長從彍騎宋之保捷義兵皆遵古
HVH_013_0061_0002	施行以爲有事之用國宜同袍同澤以共就服不貳不克以奏膚公者矣
HVH_013_0061_0003	惟山西地近京師久霑聖化嘗率先勤於訓練即為兵者咸精其能以
HVH_013_0061_0004	之征伐四方稍称勇敢若興化漸遠声教尚以嘗平與平日怠於訓練標
HVH_013_0061_0005	演之期可以缺行差派之日可以戯雇則臨事而安能以纪律束其心以
HVH_013_0061_0006	赴火蹈湯乎多怯弱至于募兵鄉兵則多集市人不闻有撫馴之素
HVH_013_0061_0007	抽取民勇不特無選擇之精是以事集而先逃望敵而溃致臨事不能
HVH_013_0061_0008	为用固奉行之不力之咎也然教士勵兵强内安外豈無真道乎臣窃嘗
HVH_013_0061_0009	思之能兵衛國誠为大政而禦寇除弊補偏亦制兵者之所宜讲伏願睿慮
HVH_013_0061_0010	奮武治兵之旨以閒習训陣之宜則申免設當差定之額革科斂私役
HVH_013_0061_0011	编列以期勇敢鼓舞募兵鄉兵則選强壮而试技以减冗籍而汰衰
HVH_013_0061_0012	疲則不至有虛額矣至于養兵之法則糧餉月给必優其常需而勿计
HVH_013_0061_0013	小費如唐之厚優德宗之加恩賞則資用充足尚何至于有逃亡練兵之
HVH_013_0061_0014	道則陣法刀鎗必加勤於训習而不为具文如馬燧之練成精卒馬隆
HVH_013_0061_0015	之八陣諸課則武藝常精尚何至于怯敵且又以義理以諭之號令以一刑
HVH_013_0061_0016	罰以懲之如此則鼓舞作興人思自勉效不啻如庸兵之同克國師之三捷也
