HVH_013_0065_0001	、武士秦、成卒、未甞無兵也、何以不能翕無敵、功車攻、遣車陸所以盛中其
HVH_013_0065_0002	、功此法、習射水上林、聚兵於廖武、而匈奴愈滋、桀驁、昔以瘡痍甫起、兵未可遽
HVH_013_0065_0003	用而亟改廣、府兵果合於古制否、外寇交侵、材官為強騎、説者每以戢銷何致一兵
HVH_013_0065_0004	制自朝廷而卒無以禦外敵、驕乃有称、曰庸器規模、何相処見
HVH_013_0065_0005	討士開代天弘化、司馬列于天官、法天治人、師兵序于八政、設也久、不忘戦亦不
HVH_013_0065_0006	忘戦所以無事、防、兵等可易言不悪兵亦不好兵方是語保邦之道、一切媚
HVH_013_0065_0007	步豈可去哉、防兵皆可去、葢甞者五材、一水火土金木、一不可可刈兵所以威不軌、民用、不
HVH_013_0065_0008	可無見去言向傳以為訓兵、不可去也信矣、至人要訓兵何甞啟諫書立改曰
HVH_013_0065_0009	詰兵易萃象曰除戎意謂兵者大政也當太平無事、展向克詰兵戒方可
HVH_013_0065_0010	以行無兵以息争也、処得止於地、象向除治戒噐所以戒不虞、舎向威
HVH_013_0065_0011	王我一為君子谅皆以為為不可去也、殷周以兵定天下矣、干戈既戢、飾而
HVH_013_0065_0012	釐立司馬涖之軍、咸以兵為重也、夫子明先王之道、夫豈以兵為淒哉、去兵之訓
HVH_013_0065_0013	論其不得已耳、然食足向信矣、則民固皆兵、至人寄以兵為可去、貢問政而先
HVH_013_0065_0014	以足兵答、見其為國之最先、初不可以輕去也、彼置兵於秦、毀兵於隋、此所以
HVH_013_0065_0015	速秦隋之滅、曾是以為得乎、即卦六爻出師判之一以律、駐師判之以左次、中吉
HVH_013_0065_0016	之吉、吉之於兵也、帥師之吉於五卦卦也、而未奉詞代、深列曰因會執言、還師
