HVH_013_0066_0001	班賞列曰大君有命用師，遣六爻尽，蓋不待於他求矣。
HVH_013_0066_0002	後世孫子十三篇，吴子六篇，尉缭二十四篇，權謀之書至繁。
HVH_013_0066_0003	殆不若師卦之文，具陳民事，毋 [ ] 矣。
HVH_013_0066_0004	咸国之制兵也。
HVH_013_0066_0005	其居民，列五家为比，五什为闾，具會民，列五民为伍，五伍为師，五師为军，其以暴自於天下，而无非王道。
HVH_013_0066_0006	公自伯者之興，二说兵为源，人以计雕，孰比师军師之規，仍彷彿乎先王之遺意。
HVH_013_0066_0007	然徒民而寓以治兵，内攻作而兵農分，咸国之所以制兵，不必是功於用泥也。
HVH_013_0066_0008	陳氏璣其为伯者之私，可谓剖底他心事矣。
HVH_013_0066_0009	夫子此甲兵之问，答以军国以兵之不可不用训也。
HVH_013_0066_0010	然圣人文武兼備，兵甲虽俎豆在平日之所掌，间有不戦，必克矣。
HVH_013_0066_0011	谷会而可兵，夷更却楚人用兵，得其道也。
HVH_013_0066_0012	光侥倖勝或有反帝十一王黃帝有涿鹿之戦，舜有三苗之征，禹鳴條之攻，牧野之役，莫不有征代之功，兵之興，漸武始也。
HVH_013_0066_0013	然涿鹿三苗，讨叛而已，道既隐而天下为家。
HVH_013_0066_0014	鸣條誓矣。
HVH_013_0066_0015	牧野誓矣。
HVH_013_0066_0016	征诛、衰局前此之所未尝闻，借此而借口者曹瞒篡漢，趙氏取宋，兵之起於後来，惕武其多以唱收，兵由此起。
HVH_013_0066_0017	礼祀我以湯武为证古也，商亳初立，遠富有扈之变。
HVH_013_0066_0018	而其整師也，既明三年之制，車乗之法又甲以以赏罚训之典，非得之豫者不能如是之详明也。
HVH_013_0066_0019	伯禽初封，遽 [ ] 徐戎之变，而其整師也，既参戎備之法，道路之涂，又改所以部位之旁，非未更事者所能若是否之整暇也。
HVH_013_0066_0020	观甘 [ ] 二誓，曲折纎悉，差老於行陣者。
HVH_013_0066_0021	以征苗東征之複
