HVH_013_0069_0001	乎程子謂虞帝規模不特于五事見之而在乎制兵處見之矣問兵聖人不得已而禽利執師有名矣。
HVH_013_0069_0002	雖上何用出征。
HVH_013_0069_0003	埽五何用侵伐。
HVH_013_0069_0004	舜德當啟征扈，非得已也。
HVH_013_0069_0005	鳴條牧野，又奉命？
HVH_013_0069_0006	今有誓師之辭，一則曰予畏上帝不敢不正。
HVH_013_0069_0007	一則曰予弗順天，厥罪惟鈞。
HVH_013_0069_0008	意與爭而以禪之順，反拓天以遇真私而渺不複已。
HVH_013_0069_0009	改而戢兵，非由後王。
HVH_013_0069_0010	復由此起，孔孟何能指湯武以至称其至及武。
HVH_013_0069_0011	曰未然，曾夫子何乃不足於湯武。
HVH_013_0069_0012	示成王誥政訓以克浩。
HVH_013_0069_0013	康王卽位，首言召公、畢公皆法体守成之主，用兵想非所急，周公以此為勉，求以詩天其方洽此此國，召虎所以戒宣王也，似不必是毋亦啟后君好兵之失他日六服承德之方，無非是用皆賴聖教訓之功，而兵亦何係改。
HVH_013_0069_0014	古之師出不逾限，重民命也。
HVH_013_0069_0015	邾莒之役，逾年而歸。
HVH_013_0069_0016	東山之役，三年而至。
HVH_013_0069_0017	民何不怨，方悅以使民，亟人別有道乎。
HVH_013_0069_0018	伯禽征徐夷，宣王伐玁狁、荊蠻，又細柳、霸上等軍，用兵意何在。
HVH_013_0069_0019	或有侯伐我亦類此否。
HVH_013_0069_0020	兵農之法何乃及伐楚？
HVH_013_0069_0021	匈奴求和，方從所請，而乃有擣犁之兵。
HVH_013_0069_0022	契丹入寇，誓約和親，何乃復結和之使，非匈奴在漢，誠可討伐，契丹在宋，當妥和親，即馬邑伏兵，王恢之後，是澶淵決戰，寇準之計非歟。
HVH_013_0069_0023	究竟中國疲弊，而契丹坐享其成，南北弭兵，而慶曆不免遣使何不同也。
HVH_013_0069_0024	奉今我皇上日勅萬幾，躬勤庶政，年來偶值多事，憂慮
