HVH_013_0077_0001	貴也。
HVH_013_0077_0002	洙泗鄙両生，商山遠四皓，其士賤而秦先賤之，勢極而避却閉河，汝及説不知夫？
HVH_013_0077_0003	脅肩諂笑，為羞秦之士，賤秦人賤之也。
HVH_013_0077_0004	其他士習可類推矣。
HVH_013_0077_0005	士下，俯仰佩慮。
HVH_013_0077_0006	士可擁彗迎門，國何尚者？
HVH_013_0077_0007	權謀也。
HVH_013_0077_0008	勢其所好，去鄠城射矢，豈足縱？
HVH_013_0077_0009	特一流，求權詐之術，又何苟？
HVH_013_0077_0010	世主多慢罵也，以列侯封，踞洗者以倨帳待。
HVH_013_0077_0011	西漢所尚者，功名也，勢其所向也。
HVH_013_0077_0012	仗劍出奇，登壇受委，所謂皆頑鈍之庶人，何有奇茂哉？
HVH_013_0077_0013	徵士蒲車，漢尚清節也，希先之下，竟言賤行以滅吾相。
HVH_013_0077_0014	尚書括，括囊之底也。
HVH_013_0077_0015	黄憲而客不通，石交風声所激也。
HVH_013_0077_0016	及士求薯，先白璧也。
HVH_013_0077_0017	被薦之餘，痛飲縱色，以放達為美。
HVH_013_0077_0018	一唱登餅，之廬名，其恬曠而不移，宴用廿二恥尚失所也。
HVH_013_0077_0019	大抵士之趨向，皆上之所鼓也。
HVH_013_0077_0020	亦世度之所移也。
HVH_013_0077_0021	寓以科目，取士明經。
HVH_013_0077_0022	試以經義，進士試以詩賦。
HVH_013_0077_0023	二法並行。
HVH_013_0077_0024	而詩賦非高明者不能，視學究為尤難，所以為斯選者。
HVH_013_0077_0025	往往多為名臣，得人視明經為獨盛也。
HVH_013_0077_0026	自詩賦成而取士者以律文擢首選。
HVH_013_0077_0027	大抵皆碌碌之流。
HVH_013_0077_0028	而以忠亮雅厚之士得人大不如前。
HVH_013_0077_0029	以安石之法，美意古也。
HVH_013_0077_0030	然進士之弊久，蠹滋，然非進士固不足得人，而非三代取士之法。
HVH_013_0077_0031	宋臣奏議，每欲廢之，通以如宋朝為定論。
HVH_013_0077_0032	温公明經行修科，二程之論也。
HVH_013_0077_0033	惟程顥請，縣升於州，州升於太學。
HVH_013_0077_0034	程頤請，置尊賢堂，立鄉老法。
HVH_013_0077_0035	雖有所弊，里選之意，為能深知治道。
HVH_013_0077_0036	愚平生著書，所以獨取之也。
HVH_013_0077_0037	無論其說不行，
