HVH_013_0085_0001	尊君親上自不能已國君于休而坐平傍泰必願之衡一運矣
HVH_013_0085_0002	问仁者天下之表言之仁有数仁在右而道在左仁有三同功而異情其旨及可澤
HVH_013_0085_0003	致之注言之仁古美賛貞仁之法何為詳備四書言仁多矣状仁之体何為親切先
HVH_013_0085_0004	及训仁或偏言之或事言之或政言之或以情为性或以敬为理或谓
HVH_013_0085_0005	物为己以索置一暎惟此商陸之彈仁不为毋子五常之仁分屬長兄穀難鷄
HVH_013_0085_0006	雛之蹙桃仁杏仁之喻有可伸其说发荒平天下以仁向民説乃遐國
HVH_013_0085_0007	之初之菑逆命之高三三年而石姓仁逼乃再停之後有扈不臣何谓得之
HVH_013_0085_0008	者尊得之者強理何處見仁道至大夫子不將以许人子路冉求公西赤
HVH_013_0085_0009	三十
HVH_013_0085_0010	皆治事之才也三月不违何乃為美顔子令尹子文子産皆判行之高
HVH_013_0085_0011	也其仁如何其仁何乃独称管仲僅文仁厚有餘而匈奴强侵黄金繒彩
HVH_013_0085_0012	致奉度太行仁也力向高麗不服癈神武遼东仁者無讎其好甚
HVH_013_0085_0013	致宗祖得國先仗称以自舜禹以來尽政是仁是何所以殷宗氏三
HVH_013_0085_0014	百年之安周之祖何輩抑何所見奉今皇上祗绍為效卒隋
HVH_013_0085_0015	○○天下李自○○撫御以来仁政廣不奉行礼曰安仁易曰利仁致無所过乃
HVH_013_0085_0016	舜仁施善向黎民未免阻飢湯仁善闻向葛伯征伐仇餉是以何所至诉致回
HVH_013_0085_0017	方风動鄜和忻斯世斯民咸躋仁壽之域此行之国家億万年无疆擧行何而可
