HVH_013_0088_0001	子貢美於顏回也。
HVH_013_0088_0002	令尹子文，子或忠，或清，固皆有制行之高矣。
HVH_013_0088_0003	然原其心，忖知有已，不知有帝。
HVH_013_0088_0004	忖知有世，不知有国。
HVH_013_0088_0005	利害之私未脱。
HVH_013_0088_0006	若管仲相桓公，九合一匡，民受其赐。
HVH_013_0088_0007	非大夫之可比倫，如非其仁，如其仁。
HVH_013_0088_0008	夫子独称於管仲也，辟及汝、廖，未曾理會得仁字。
HVH_013_0088_0009	漢文之依匈奴，效为辺患，律以仁者之勇，威以服之，可也。
HVH_013_0088_0010	賈誼言倒懸，威令不行。
HVH_013_0088_0011	形匈奴遂至有金繒之奉，其美。
HVH_013_0088_0012	唐太之於高麗，不失臣節，律以仁者之道，箠以檮之，可也。
HVH_013_0088_0013	然太宗仁而失於弱，以致契丹踴躍，橫行敵國。
HVH_013_0088_0014	我宋承，迨至有兵敗，遼東之恥。
HVH_013_0088_0015	孟子所謂仁者無敵，吾於此見之矣。
HVH_013_0088_0016	天眷宋德，太祖肇興，伐暴弔民，兵不血刃，比之湯武，益無慚德。
HVH_013_0088_0017	藝祖肇於前，既以仁而立國矣。
HVH_013_0088_0018	法其後者，亦何以承之。
HVH_013_0088_0019	盖自子子孫孫守其仁，自足以固結乎黎庶之心矣。
HVH_013_0088_0020	故至江左偏安之後，恩且深。
HVH_013_0088_0021	仁者之澤，結於民心者，至深且固，賴以延續其正統宗社三百年之安，皆藝祖之仁聲有以啟之也。
HVH_013_0088_0022	胡一桂之意，有所見矣。
HVH_013_0088_0023	問民有四，士為之先。
HVH_013_0088_0024	謂之士者，誠可貴也。
HVH_013_0088_0025	皋陶論士，九德之目，必立言而及之。
HVH_013_0088_0026	後，有舜德之以宣三善，又何必拘其數？
HVH_013_0088_0027	曰秀，曰選，曰造，曰進。
HVH_013_0088_0028	禮王制：有儒，有賢有孝，有悌。
HVH_013_0088_0029	詩書載士也。
HVH_013_0088_0030	而名各異，可得闡歟？
HVH_013_0088_0031	不農不商，士之所當用心，何在？
HVH_013_0088_0032	夫子論士，首恥惡衣惡食，又曰：懷居不足為士。
HVH_013_0088_0033	為戒深矣。
HVH_013_0088_0034	至於
