HVH_013_0103_0001	問性善之說何所自昉常性一言為六經之始歟其稟受中天然
HVH_013_0103_0002	自有之中萬物同出一原諸說同異何如仲虺曰民生有欲伊尹曰習與性
HVH_013_0103_0003	成與湯言可互發歟所謂見而知之何所取乎蔡絳曰言繼之者善成之
HVH_013_0103_0004	者性又以仁者見之謂之仁智者見之歟論語性近之言可相貫否大
HVH_013_0103_0005	學中不出性字將以性善之說素明故大賢不消說歟子思論性亦本
HVH_013_0103_0006	堯舜相傳之意其發前聖未發之蘊又安在乎告子論性前後四
HVH_013_0103_0007	章之誤本根何在孟子性善之說淵源有自曰情曰才又何添此護
HVH_013_0103_0008	論稱之曰大有功於世良有以也此後性善性惡善惡混性有三品其
HVH_013_0103_0009	夫未嘗有善惡之說大都就氣說性不知既開告子之說又何有紛
HVH_013_0103_0010	紛之說程子氣清才善氣濁才惡之辨亦只是發明孟子說才之意
HVH_013_0103_0011	有補於聖門有功於後何獨歸之程氏有專說仁義禮智有兼
HVH_013_0103_0012	說健順至論在物於太極言理同而氣異於孟子言氣同而理異
HVH_013_0103_0013	可悉闡次徑庭性命之講亦有功於理學究其所就却非清談苦
HVH_013_0103_0014	空同一其歸何也方今
HVH_013_0103_0015	皇上光臨寶位首開經筵日與侍臣講論經籍又常親臨國子監召集
HVH_013_0103_0016	臣講論經籍命講尚書精一執中四語傳遞道德一節誠本天
