HVH_013_0106_0001	性學之淵源傳注開来直與張子善反之說而同功此朱氏一歸之程氏
HVH_013_0106_0002	也朱子之學得之程子其序大學專就人
HVH_013_0106_0003	性說則曰仁義禮智其註
HVH_013_0106_0004	中庸原天命說則兼言循順論萬物之一原則於太極或問言理同
HVH_013_0106_0005	而氣異自言有生之初說也論萬物之一體則孟子註言氣同而理異自
HVH_013_0106_0006	有生之後說也其言各攸當可得聞矣宋理之初即位也日御經筵
HVH_013_0106_0007	與攸講論緝熙有記道統有賛於新徙偽學之後而有此性命之
HVH_013_0106_0008	講固有效於理學矣惟嗜欲既久怠於政事則性命之講徒屬
HVH_013_0106_0009	虛談果何有明德新民之實用卒之百年放弛與晉之清談梁之
HVH_013_0106_0010	禪同一其歸者則倡之之罪也奉我
HVH_013_0106_0011	皇上光臨寶位臨御初年於欽文殿開經筵日與賢臣講論經籍固已乾
HVH_013_0106_0012	行不息懋商王遜敏之功益進无疆期周后緝熙之學者矣猶且
HVH_013_0106_0013	振作文風薰陶士子謂國子監乃教學育才之地於嗣德九年春嘗
HVH_013_0106_0014	親幸學命講堯授舜承之與昔孔曾思傳孟受之微言誠仰
HVH_013_0106_0015	見褒篤化原以盡性為盡人之性主敬正己以淑身為淑世之方求之
HVH_013_0106_0016	宋史曰伊謨已在我皇躬行中非宋理所得匹美也吾體哉
HVH_013_0106_0017	皇極是道學闡明正學者將成其業之日也生至人之世沐全人之化宜
