HVH_013_0114_0001	以養老為憂，取美各不同而其教正，人倫明於上有不足以美俗治而美俗乎。
HVH_013_0114_0002	声哀而泣乞於夏，而民有不距之風。
HVH_013_0114_0003	教化大行於國，而世有淳成之俗，法隆俗美，二代同焉。
HVH_013_0114_0004	商並称其恪，三代之設雖同，而賈氏作。
HVH_013_0114_0005	商視夏周為最憂，設化之陶習也深，有以養咸一代之人心，風俗收扑式微。
HVH_013_0114_0006	之後懷夏古，邶雅思周，丂一竭樊而商刈志士人凛然守節，遺士餘哀不輕以周以殷，风俗藩夏後，周後末閭閻熟一三代教法王制詳，洋乎鄉黨孝弟達於司徒以藩秦，民皆各掌於樂正以養國子，教法有變世家，編戶以别也。
HVH_013_0114_0007	教法既異則方校不可以一槩，宗庶之志多，繁理也。
HVH_013_0114_0008	六禮七教有三年之陶造就使可以同道，古之黨庠之，家塾由禮也，四術四教必先載之童，陶冶可使踰中和之域，故國以陳民之言信矣，夫惟三年之期也。
HVH_013_0114_0009	此所以致而一而不變，亦可重絕於人，故曰不變而後屏之，九年之期也。
HVH_013_0114_0010	此所以簡而終有不變，則不可易之度，故曰二不變而必屏之，此奇不同也。
HVH_013_0114_0011	而三代以下，季世樂衰，西漢之時庠序不立亦以之，宣帝登憂國不足以美，君哀而其憂不率，亦何望其善治哉。
HVH_013_0114_0012	試問觀之西京，茂陵其存似亦已矣，然以三代觀之，禹典湯誓文武烈
