HVH_014_0003_0001	公矣籌公益人人各効其義務以對於國家富強之業
HVH_014_0003_0002	非偶然也堂堂我南天書分定一隅西箕之土壤氣候
HVH_014_0003_0003	憑山物産豐龐之僊穉之子孫族類繁而体質美有此
HVH_014_0003_0004	最優資格而今日却爲最劣之人民豈天公私罰而然
HVH_014_0003_0005	哉権其原因不講實學之故夫所謂實學者國史其一
HVH_014_0003_0006	要件也興我南立國最大與皇軒並總括古近可分
HVH_014_0003_0007	爲三時期鴻龐以後有部落還未成國家有音諺而未
HVH_014_0003_0008	知著迹舊史所録盡底傳聞是疑史之時期也蜀泮而
HVH_014_0003_0009	及北敵侵燹既無國史何自列其間刺史太守都護皆我
HVH_014_0003_0010	之大仇政績賢愚固不容述至若我國倡自由獨立之
HVH_014_0003_0011	大英雄如徴王趙嫗李南帝趙越王梅黑帝而先生為
HVH_014_0003_0012	吾輩所崇拜紀念尊以廟像頂以香花欲表之揚之以
HVH_014_0003_0013	起國民觀之念而舊史之記載漶漫其豐功駿業之可
HVH_014_0003_0014	傳者十無一二是闕史之時期也若夫獨立丁皇
HVH_014_0003_0015	一統歷黎李陳黎以迄本朝神聖龍興文明蔚起上有
HVH_014_0003_0016	史官之秉筆下有裨乗之紀聞博而可徴詳而毋缺是
