HVH_014_0013_0001	僑于使其子雅郎贅于趙...以歸遂背約伐趙滅
HVH_014_0013_0002	之遷都峯州是爲後李南帝
HVH_014_0013_0003	隋遣劉方來侵佛子兵敗被擒南地復爲隋所并隋亡
HVH_014_0013_0004	并于唐
HVH_014_0013_0005	通計前李南帝至佛子凡六十二年
HVH_014_0013_0006	按當是時北寇才退國內初定李佛子與趙越王俱
HVH_014_0013_0007	是南帝故將且有婚姻之親使能同心協力以禦外
HVH_014_0013_0008	國我國獨立之業豈待吳丁而始就哉不此之圖而
HVH_014_0013_0009	內相攻伐卒之唇亡齒寒趙爲李所滅而李更爲隋
HVH_014_0013_0010	所殄嗚呼國步艱難會不之恤却乃私圖利己以自
HVH_014_0013_0011	傷其同類國欲不夷爲他人之奴隸其可得乎讀史
HVH_014_0013_0012	至此令人擲書而長嘆
HVH_014_0013_0013	第三節 隋劉方與林邑之衝突
HVH_014_0013_0014	隋劉方將兵攻林邑林邑國王梵志拒之不利棄城走
HVH_014_0013_0015	隋士卒腫死者亦十之四五劉方死于道
HVH_014_0013_0016	第四節
HVH_014_0013_0017	第五章 北屬時代之諸英雄
