HVH_014_0020_0001	交通公私便之
HVH_014_0020_0002	大行帝崩子中宗立三日其弟臥朝簒而代之
HVH_014_0020_0003	臥朝帝遣使如宋求九經及三藏經後遣使如宋廉州
HVH_014_0020_0004	馮鏆等處互市在位四年崩陶甘沐等擁立殿前指揮
HVH_014_0020_0005	使李公蘊是為李太祖
HVH_014_0020_0006	按我國之有佛教為日已久丁先皇始賜僧吳真流
HVH_014_0020_0007	號太師則其教已盛行矣至黎李陳諸帝復守信之
HVH_014_0020_0008	而僧尼寺院遍於國中遂占佛教上之一大勢力溯
HVH_014_0020_0009	改良學校歷史教科書 近世統一時代二十一
HVH_014_0020_0010	其初葢自印度入北國復自北國入我國其與孔教
HVH_014_0020_0011	之南流同一時期也
HVH_014_0020_0012	第五節 李之代黎
HVH_014_0020_0013	李太祖 北江古法人 (今北寧東岸) 代黎而有天下遷都昇龍
HVH_014_0020_0014	分國為二十四路定税例 一澤池田土 二桑州錢 三山林產物 四
HVH_014_0020_0015	鹽關津 五
HVH_014_0020_0016	蠻 獠犀象香料 六
HVH_014_0020_0017	山 頭材木花菓 (設兵為甲每甲十五人為管甲)
HVH_014_0020_0018	征 占城破之 真臘遣使來貢
HVH_014_0020_0019	減 之廣化府 (今清化府)
HVH_014_0020_0020	順天之治號 禔太平
