HVH_014_0032_0001	定錢幣法（六十文爲一陌今用之）哀牢暹羅占城邏羅斯甸盆蠻
HVH_014_0032_0002	但來朝貢一雄王也在位九年壽二十歲
HVH_014_0032_0003	次子仁尊立占城數寇邊帝命黎魁等將兵十萬攻闍
HVH_014_0032_0004	槃城擒其王賁該以歸立麻訶槃爲王
HVH_014_0032_0005	時盆蠻求內附以其地爲歸合州
HVH_014_0032_0006	第十九節 黎前
HVH_014_0032_0007	仁尊崩聖尊立分天下爲十二道（清化 乂安 順化 天長 南策 國威 北江 安邦［今廣安］興 化 宣 光 太原 諒山 與土官等而治之）
HVH_014_0032_0008	哀牢據并同順州（今順）
HVH_014_0032_0009	國朝歷史教科書一近代篇一時代三十三
HVH_014_0032_0010	申援帝命屈打討之拾琴同哀牢僰兵敗尋遣使來求内
HVH_014_0032_0011	附帝惡其反側却之
HVH_014_0032_0012	占主茶全率兵十餘萬寇化州帝自將兵攻闍盤城擒
HVH_014_0032_0013	茶全分其國爲占城花英南蟠三國分王之又取大占
HVH_014_0032_0014	古畕之地置廣南營
HVH_014_0032_0015	老撾犯西陲盆蠻琴公倚以爲援拒官軍抗帝命諸將
HVH_014_0032_0016	討老撾破之入其城老撾王遁走略地至金沙河夾緬
HVH_014_0032_0017	甸國南境復命黎念討盆蠻逮琴公分其地爲鎮寧府
