HVH_014_0042_0001	顯尊尋引兵南歸與兄岳分地而王兄稱西定王弟稱
HVH_014_0042_0002	北平王其後有隙相攻尋復和好如初
HVH_014_0042_0003	第三十二節  西山帝之滅黎及其破清兵
HVH_014_0042_0004	托平王之南歸也惡阮有整反側難制棄之於托河昇(即)
HVH_014_0042_0005	襲整回乂安募兵陰有爭據乂安之意及黎顯尊崩諂
HVH_014_0042_0006	[...]統帝立召整使之當國王聞之自廣南進兵復攻陷昇
HVH_014_0042_0007	[...]帝出奔王追殺整留其將守昇隆
HVH_014_0042_0008	[...]兵入昇隆王聞之大怒曰何物吳狗敢爾
HVH_014_0042_0009	[...]近世統一時代 四十三
HVH_014_0042_0010	[...]位建元光中揀勝兵十餘萬自將討清兵
HVH_014_0042_0011	[...]自漢以來北人占據我邦虐魚肉我人民人
HVH_014_0042_0012	[...]不堪命古有徴王陳有興道黎有太祖大起義兵驅之
HVH_014_0042_0013	[...]批還今清人復來謀取我國故我出而驅之汝等南人
HVH_014_0042_0014	各宜戮力同心使大勳用集諸軍唯命長驅而出至玉
HVH_014_0042_0015	洄(今屬河內常信府)清兵奔潰又進攻流派(屬河內常信府)南同(屬河內
HVH_014_0042_0016	內)等處皆破之斬其部將許世亨張朝龍岑宜棟等
HVH_014_0042_0017	清統將孫士毅倉皇北走過珥河浮橋清兵溺死大半
