HVH_015_0002_0001	帝王貴大血脉各局
HVH_015_0002_0002	〇立此右上龍昇龍嶮最雅立引後脉双魚峙前峯平嶺鎮乾任爲山寬宮平
HVH_015_0002_0003	本田曰帝河遮青龍却影齒逼西気最冲融前江纏後石港山居室密呈皆共
HVH_015_0002_0004	向多水套利宋位居九室內陰平宝作一陰亦吉属不逼此世中又曰 (左通歲果止一條 五季朝砂共聚)
HVH_015_0002_0005	〇立后海中立此麓亦形最落六名水冠引脉假壙南家堂右限合龍脉水所流蝶
HVH_015_0002_0006	脇相疊曖放水妙螄蓋極江環何以環僻濶而遠龍傍第約十臺嶺龍最尊
HVH_015_0002_0007	疊岡五湖前案預三島後宮帝內包護氣胏可曰細極就且真天子地安三面
HVH_015_0002_0008	〇立文在土地南向爲最灵恝往癒父障服自瀛山内明未何昭受老畫礙
HVH_015_0002_0009	立宣唐田千沙引珠規六龍中心立等羣峰砂流百淅居堂前流九曲營分列
HVH_015_0002_0010	千兵百神誓貌室千官向面迎吉而貴氣國祈保清宰亦其龍不逼未為
HVH_015_0002_0011	〇因若尊貴地胜至難億山千面峭壁萬水湧濶偏塲来如浪湧防仕何
HVH_015_0002_0012	惡嶺遠旡旋公座秀保出其间气内薰八惨透而列百官誠為天子地宫
HVH_015_0002_0013	惟中假安邪侍流六出玄字也惟雜 (在太原国全号一三)
HVH_015_0002_0014	〇美禘元貴氣百里本衣煞的都環璣出席螭諠徐馬十重耀金躰等系胚况後足
HVH_015_0002_0015	羣峯密耒前獨秀勇神上阴阳合堂中气勢全九五房龍位六現坤徳亦准中流
HVH_015_0002_0016	永寓生大聖賢亭中興立潔安宝非再倍帝帝多代垂葉保餘年 (帝室美稀是一)
HVH_015_0002_0017	〇傘峰山五曲实与陰天肯墨哺秀出猛獸岩浩变哥形常笇岐好势与作揮八将施
HVH_015_0002_0018	前峙羣峰皆傲立祺俑呈屏帳澹愿的名高低胏汪舊五嶽气收凝干溪内外皆环
HVH_015_0002_0019	抱龍奔屯酒住沉中假乗脈最金宜柄在心可不明岸居美依拱皇天子贵安
HVH_015_0002_0020	帝道永綏享中興長作千帟常永垂 (在西州义其一二)
