HVH_015_0006_0001	垣局迴環，左右龍蟠。
HVH_015_0006_0002	後分前九，面朝外五。
HVH_015_0006_0003	秀体祛眉，中腹垂燈。
HVH_015_0006_0004	豈茲心空，可什五代。
HVH_015_0006_0005	黃客貴公，候最重。
HVH_015_0006_0006	擁一代生天子，洪体福自天。
HVH_015_0006_0007	左右四何以〇青廉幽閣，屍赤蛇交。
HVH_015_0006_0008	庫臂平夷，実是峯。
HVH_015_0006_0009	血脉藏生氣，奉砂鑚自立。
HVH_015_0006_0010	西向吉。
HVH_015_0006_0011	安定元陽脉，廣要静。
HVH_015_0006_0012	渴龍风来，結穴天而西。
HVH_015_0006_0013	朝宗潤濶，施敎自堂心。
HVH_015_0006_0014	叩帯宮，鬼山暗。
HVH_015_0006_0015	武案面実呈，峯遠随降，干砂出。
HVH_015_0006_0016	北揖龍前，帝王一代。
HVH_015_0006_0017	後吉侯。
HVH_015_0006_0018	左右穴洋申，及下。
HVH_015_0006_0019	孟世省奇功。
HVH_015_0006_0020	二此等〇膠勿有奇，凉武罕居。
HVH_015_0006_0021	黄地芝隆而形。
HVH_015_0006_0022	得山畫而胸止。
HVH_015_0006_0023	象的凭糝行。
HVH_015_0006_0024	年由耒辧。
HVH_015_0006_0025	特後山倚，与周西向。
HVH_015_0006_0026	截横的以詹心，頡連珠，案外謫。
HVH_015_0006_0027	壹躍酉曜。
HVH_015_0006_0028	縫槐三去。
HVH_015_0006_0029	燈前峙，客中穴。
HVH_015_0006_0030	一薪薮，五世乗。
HVH_015_0006_0031	陽芽浮宜。
HVH_015_0006_0032	消的遇，軒倒。
HVH_015_0006_0033	雌〇看底有実，龍武而最。
HVH_015_0006_0034	好云连弘，今蔭後。
HVH_015_0006_0035	倒山覆帽，左右逼何纒。
HVH_015_0006_0036	流右順香抱三横，四直耒。
HVH_015_0006_0037	寄砂千山引，幹無徒。
HVH_015_0006_0038	回作車。
HVH_015_0006_0039	西安士道，容是房。
HVH_015_0006_0040	如富貴，乗壽分第竹龍，次血脉如与京北處順安府嘉林縣，今噬城〇離指左右，有此地甚。
HVH_015_0006_0041	在右凡龍，現在山。
HVH_015_0006_0042	豈非龍頑，的抱者。
HVH_015_0006_0043	心内淘脉空，此敷七气。
HVH_015_0006_0044	奇此甚。
HVH_015_0006_0045	脉空得軟，處位列台階。
HVH_015_0006_0046	右瘞硬，受祥不至。
HVH_015_0006_0047	客耒，徒而不安，仕恐退回。
HVH_015_0006_0048	落向名列，立台内。
HVH_015_0006_0049	蓑八降，圃鼻一。
HVH_015_0006_0050	裁名躰，帝務。
HVH_015_0006_0051	深約過，空哭生避簿。
