HVH_015_0022_0001	○ 慈廉上會真竜可安形悪势美康施竜蟠左脉右揖案正堂寛佳甚敷
HVH_015_0022_0002	南内外㵎欄工分下合山磹水環先在甲後女出高官可及可到位銮朝班富貴
HVH_015_0022_0003	長秀福祿永安
HVH_015_0022_0004	○ 慈廉勝地在雲耕西湖脫脉蘇江繞形双重五岳尚而三星左右登対主
HVH_015_0022_0005	若相迎迎未生出公卿莫趨水防恐遭水刑莫爬金財恐見金兵、一
HVH_015_0022_0006	○ 丹鳳葬会垾安貴竜山磹登日水送前夕世方宏这内形冲馳百
HVH_015_0022_0007	男仕榮客昙朝含宮座中腹出佳公宕貴者考奥位等祟
HVH_015_0022_0008	○ 大㵎云、脚走也最宜山形微法水芳送通左右旋拱主客交施屏接錦帳
HVH_015_0022_0009	案現娥媚究在准息来生可依男贵官富女景妃福寿全美真内生亏
HVH_015_0022_0010	○ 丹鳳夜云竜席蟠旋山郛日角水芳舛連左右交接主客觧妍花心可下葉
HVH_015_0022_0011	源可升云景小貴或共大撥功名出世福寿延年
HVH_015_0022_0012	○ 丹鳳天漠秀竜可定左旋石環山育垾出泻恶形覚脉缝竜净主客魏
HVH_015_0022_0013	貌星晨也順穴在中华是弃天命大共公卿官貴幽盛屡水路等必生淫行
HVH_015_0022_0014	○ 丹鳳山祠冬脉号鍾形備幽備竜重重左右相温主客相促方在中乳垂洙
HVH_015_0022_0015	可容大共富貴世出英雄、
HVH_015_0022_0016	福祿鼎㵎福寺 福祿蘭亭是脉金美竜回風回止水上形另排季函欄界
HVH_015_0022_0017	冬穴在童牛走従風當主出公弼代々榮貴
HVH_015_0022_0018	○ 福祿冬池福祿之所走行遠迭水芳縈紆意足積水面印落方在童突亲和怠
HVH_015_0022_0019	趨世生科甲代々科儒前交祝我宕貴全收
HVH_015_0022_0020	○ 福祿東安其地可要山旋而降水居面弯寅申砂突形芳趨蟠上与下安主形
