HVH_015_0029_0001	雲陰与卿形芳菴美而曜扶肩而山落水前有珠按红有山峙気狼山頭
HVH_015_0029_0002	花面鳳觜穴在弃涂世出科士六部陞名三公列位福衍児孫庆流潘首
HVH_015_0029_0003	勿向及砠恐生惜偽
HVH_015_0029_0004	○山回羗山水如弄笛竜曜水朝席幡山迹山頭娥眉水生玉尺皎潔粉墨森
HVH_015_0029_0005	巽屏陞穴在其中棄涂新積女共王妃名雕玉或退竇寺柴代又流正多子
HVH_015_0029_0006	多孫共敬澤福男共富虎阴阳利益
HVH_015_0029_0007	清波臨 澧阳下作淮 冥脈允里山以地乃水自天然万右客虎化左山竜餅花
HVH_015_0029_0008	画鳳箄半空池阅苔辛里唯主居水恒穴在中汲世出骰元女共兆后男
HVH_015_0029_0009	女双全等共永保福寿可矣
HVH_015_0029_0010	清波俸岗芳止形昂三台作案家水雅堂通稠交接主客辉煌童
HVH_015_0029_0011	奉帐按度我致粉穴在中腹世出賢良位至卿相福寿万昌 华楼之灾
HVH_015_0029_0012	清江大虹形穹冲敷山流白属水遠青竜四件嶓法山水交竜童膸塾元
HVH_015_0029_0013	大芳侯公宿貴长寿福禄永终勿向反水恐生危亡
HVH_015_0029_0014	青波顔油形芳可佳竜阻虎重庚滝竟水八神術无四水入怕主客端常
HVH_015_0029_0015	穴在中胎棄深取是出社科量名棕贅宛位列金階
HVH_015_0029_0016	花溪临 夜溪幅禄形写羌共东張洋朝山重低伏在批右拱前
HVH_015_0029_0017	秀列循遂稠男童竟虎聖甫官在富半之魅科自位重ね悪客五福
HVH_015_0029_0018	山冈去地阴竜可安大河版引半庚山高水縈紆遠山婉挽玩童倪各对
HVH_015_0029_0019	主客交椎共在中心露出台官大共卿相共廷朝班
HVH_015_0029_0020	在溪平曽共他可取山褰中米永澄而聚両山相翫四面相唯珠現童争
