HVH_015_0030_0001	花𨔵風舞形芳瑞秀穴似中乳挺出公侯權富宰輔事業榮隆兼有
HVH_015_0030_0002	花溪雲窩竜脉茂佳稠崗氣鍾大何似聚案静風累豈尋常幽主
HVH_015_0030_0003	女羣𢀖仙人舞袖浩浩奔來𧽆窩穴佳步步卿生科目奔首
HVH_015_0030_0004	夏花鼎夏木々阿莫如平福形芳雄煌黄虎盤郁左旋而降右
HVH_015_0030_0005	旁而伏水衆蝦鬚山朝强抽氣脫𩴵冠穴若竜腹大善公侯崇陞尊
HVH_015_0030_0006	祿去德不真恐生老連
HVH_015_0030_0007	夏木冷卿黄桃𩴵山形峻急水洪汪洋似玩𩴵犀角𩴵螺膓𩴵稠
HVH_015_0030_0008	累列旗鼓𧽆引差采後受辛𨔵卯阳太𦸇貴位列侯王
HVH_015_0030_0009	端𣎴府東角𦸇東𨔵雲崗山脉稠出水首傍峯山多峙氣亨
HVH_015_0030_0010	乾坤崗𦸇山若重𩴵勢現主客交会𦸇花心主奔𠫶貴位列三公
HVH_015_0030_0011	雄竒桧𦸇垞可作𦸇厝芳美𩴵掩竜冠逝水城獵強山脉遠迎穴在竜
HVH_015_0030_0012	腹乗㳂可宜出卿相佳列雁𧽆功各迳播福寿永安
HVH_015_0030_0013	雄𨔵泉庵𡓖可亦山𦸇圓尾水𨔵羊鴈百𩴵化景青竜朝堂寔𦸇極世
HVH_015_0030_0014	出賢良大孝卿相富貴榮昌奚内乃逼恐或離郷
HVH_015_0030_0015	𦸇户𠎤𦸇肧雄竒山采爲跡案規𩴵眉内形寬濶升芳遠迎穴在肧𡓖安
HVH_015_0030_0016	𡓖兆男孝卿相極祿承接𥙿寿𦸇美昌熾富支
HVH_015_0030_0017	𦸇西崗西崗福真若也可云左山朱氣右水𡔷津主迎客合客𩴵雲𩄏山
HVH_015_0030_0018	山形𧽆𠎤正形真墓𦸇共起住遠大及功名𧽆世国祿荣身
HVH_015_0030_0019	西崗奇山黄𩴵田孤旗𨔵面案筆架𨔵稠扶肩𠎤得舞弄鏡双𠫶穴在中𡓖
HVH_015_0030_0020	旁出文官位至卿相福寿可𦸇𨥨内反水仕中𨔵还
