HVH_015_0033_0001	美良芳里尔脉音異如蠻中酥加雲中稚竟庸蜜瓦主客重老安其官
HVH_015_0033_0002	但気戱止世本兮侯芳陞名位伐多安可为全美
HVH_015_0033_0003	烓之花也異形其脉山各気随平津山徳禄息木聚之辰世出張相富貴
HVH_015_0033_0004	雲臻但浄庚属山赤永亨出生頂幕以葛救人
HVH_015_0033_0005	美色下邪気脉或宿山永阻規童鬼降伏左右执后松前仲和淘不若忘気
HVH_015_0033_0006	以竜腹也出陰出景卒病足浄尔悲恐以忏悞图
HVH_015_0033_0007	大血脉則義 今従美哪奧昇午火外脉洩最者意化葉白虎昇庭山止水聚主就家
HVH_015_0033_0008	迎六房中收来元気生裂之也尼伝重分細三代栄貴升人丁
HVH_015_0033_0009	明弄世期気加与信気脉此梭亦鬼透進山水銹送日外交輝棲量警用
HVH_015_0033_0010	畢朶硯池尤以童耳乗洙最宜世生科甲福寿重帰
HVH_015_0033_0011	石湓江治
HVH_015_0033_0012	石犀仙神
HVH_015_0033_0013	易留三葉之 一竹茹
HVH_015_0033_0014	石膏知母
HVH_015_0033_0015	耳草人参
HVH_015_0033_0016	梔子味
HVH_015_0033_0017	畏寒去山梔 貝母花粉
HVH_015_0033_0018	牝百斤
HVH_015_0033_0019	三茎 無汗 麻黄 桂枝 草 汁 杏仁 竹茹 川穹
HVH_015_0033_0020	防風 白芷 羌活 二葉 一腹
HVH_015_0033_0021	防風 麻黄 加葛根
HVH_015_0033_0022	桂枝葛根 具作防風川穹法
HVH_015_0033_0023	暑以无多草三葉三茎五葉
HVH_015_0033_0024	汗多加黄芪喘加柴胡杏仁
HVH_015_0033_0025	龍胆也根法估秋黄長雨
HVH_015_0033_0026	不正以柴胡黄芩人参半夏
HVH_015_0033_0027	甘竹 桔葛葉
