HVH_016_0002_0001	酒思荷觴方知是酒狂，下池酒醉亦誠忘。
HVH_016_0002_0002	醉八視山形不見，狂來倚馬步成章。
HVH_016_0002_0003	言處退流三浹湧，行問倒壓萬人強。
HVH_016_0002_0004	夜夢青蓮推枕起，恍然問尔来何方。
HVH_016_0002_0005	惜別何日忘、別緒別。
HVH_016_0002_0006	院深人靜露為霜。
HVH_016_0002_0007	千金此夜傳棲酒，隔歲重來指柳粧。
HVH_016_0002_0008	白雪按歌留雅調，梅花送樂寄元香。
HVH_016_0002_0009	只今惟有蘇江月，若重依人照短墻。
HVH_016_0002_0010	別歌埃浪真定麻賒珥，江想拱改巵庒。
HVH_016_0002_0011	涠汝埃心拯，鋮調活敏躳底肫天仍躳慣。
HVH_016_0002_0012	經吝路應無淚，生是才人會有情。
HVH_016_0002_0013	歌一曲，勸君傾耳唱，聳匏樽供子所共適。
HVH_016_0002_0014	既自以心為形役，抱惆惵柝子宜乎、天覆吾地載吾。
HVH_016_0002_0015	陞扶寧縣尹寄詩人世遭逢若風緣，身名身事我安然。
HVH_016_0002_0016	回看夢境仍非夢，爭信憐人却自憐。
HVH_016_0002_0017	醉半落霞平布地，醒來明月倒主天。
HVH_016_0002_0018	祇今林莽還如昔。
