HVH_016_0035_0001	遠景康。
HVH_016_0035_0002	神京向日依和土升總教七旬自述元韻一接壽前旬届七旬，誦詩自述不勝光。
HVH_016_0035_0003	文章助興仍仕哉，日月卒予旧又新煮得每餐添，壽骨釀成稻酒有。
HVH_016_0035_0004	奇芬雅陪學风行，狂古樂道詩書化土人錢仁睦章人黎允升會試天入春韶景为清，人人携手上神京。
HVH_016_0035_0005	新元虚度戀多載，鵬翼高飛赴萬程。
HVH_016_0035_0006	傳世即今惟甲第，驚人别有此文衡。
HVH_016_0035_0007	古來最愛年狂少，莫評限竜頭属老成和菽澤舉人黎叔禄會試自詠元韻 丁丑孟冬狀元不是上天来，瀟洒昔人争奪錦。
HVH_016_0035_0008	回首吾子八年知，臣蓄帝心一甲待。
HVH_016_0035_0009	高木名花熈綴文章好，紅粉歡迎氣色調。
HVH_016_0035_0010	御苑風傳馬去遠，二濃山々嶺佇音催蘐澤舉人自詠元韻秋因一第捌年来，千里步程此西靣。
HVH_016_0035_0011	虯想碧濤愆有分，幾忘奪錦或非才。
HVH_016_0035_0012	鳥翻陌響迎人渡。
HVH_016_0035_0013	花抱新粧夾路開。
HVH_016_0035_0014	一片征心帰顔日，濃山雲樹每相催和明鄉秀才潘載典五旬自詠元韻
