HVH_016_0038_0001	壹濃堂地涌光垂人子知年好徳入日筭甲周初五百桂栽花攷
HVH_016_0038_0002	根双枝献桃孫子庭高叙酌觴壎箎韻迭吹久夢鍚吟歌
HVH_016_0038_0003	壽毋長聯群季作葉児
HVH_016_0038_0004	又一体
HVH_016_0038_0005	壽毋詩歌届八旬嘉糓嘉酒楽嘉賓蟠桃好向仙池熟丹桂
HVH_016_0038_0006	初開綵顧先裳日悠人共有一知年徳喜即常新寿雛屨
HVH_016_0038_0007	聯群季屨把綏将耿媚頻
HVH_016_0038_0008	贈雲耕秀才阮迪赴京應召
HVH_016_0038_0009	吾友雲亭秀才阮台荻丸在闈机杼成家屡牽科場似未忘
HVH_016_0038_0010	於禄仕生平志願不在於輕肥顧甞安貧達之天其昔作清華之
HVH_016_0038_0011	梦動念白髪高堂丹結倍壽青衿吾輩易可通醫敢云未達
HVH_016_0038_0012	而終疑耶歌覓醫以自治人或知之亦事求治毎對二三兄弟言托
HVH_016_0038_0013	小道以偷頃幸也不幸而有名也乙年冬孟丙歳共邠閈院文章派臣
HVH_016_0038_0014	叶幸君吊穫心不忘於一日思蒙膳養情感倍於萬鍾有幸郭
HVH_016_0038_0015	遇者勸之行有破或名者勸之止均不知吾子之志也覓吾子囂
HVH_016_0038_0016	仲由朱□誦利分之詩則其志可知也莫求闻達之知皆事囁嚅
