HVH_016_0041_0001	敬而為一郡之樂犬不吠夜虎亦渡河而民安枕安作矣忝亦為一郡
HVH_016_0041_0002	喜之也
HVH_016_0041_0003	寄多稊太守書
HVH_016_0041_0004	昨接貴僕敬叩得知 貴体康健政事寬閑素知心清剏改清
HVH_016_0041_0005	官舍非僧舍也吾怪乎前日為桂陽令其民醇人人稱之
HVH_016_0041_0006	曰一路福星萬家生佛宜矣奉今我 皇上为民择官慎守令兮
HVH_016_0041_0007	遥望呈未及朞而已三年得非九重明見萬里之外耶以至郡國
HVH_016_0041_0008	多良吏而名不見称史不勝載 大人雖有三異之称一年之借亦見遷
HVH_016_0041_0009	於漢傳者以吾皇之治至于慶 攷名不歸於良吏也因書以賀
HVH_016_0041_0010	寄奇若公子阮台書
HVH_016_0041_0011	人生貴適江湖山水之娱造化多情南北東西之沈闊雖越两地相
HVH_016_0041_0012	思歲月乃流此身将老回憶夙昔客裏已過十年莫言戱戰場中
HVH_016_0041_0013	同經歷此情此景我意难忘无日无天聊書以赠
HVH_016_0041_0014	天将南北限吾人日夜惟思長别心冬去春来相寄語
HVH_016_0041_0015	己卯年和安鄉人鄧廷珣會試自述元韻
