HVH_016_0044_0001	微行游服作商人
HVH_016_0044_0002	若友相逢認得真
HVH_016_0044_0003	舟子報呼檝子登舟登岸
HVH_016_0044_0004	去漸曠
HVH_016_0044_0005	和雲耕秀才阮迪元韻
HVH_016_0044_0006	雁江望望舊京皐
HVH_016_0044_0007	西地北路散苦勞
HVH_016_0044_0008	誰知攸往遙去路
HVH_016_0044_0009	瞻我蒼坤交密深
HVH_016_0044_0010	結仕遠烽火角
HVH_016_0044_0011	閙江心挑照燈
HVH_016_0044_0012	吳船何
HVH_016_0044_0013	處聽尋憩
HVH_016_0044_0014	雅路玄棘轂
HVH_016_0044_0015	和丘授楊玗元韻
HVH_016_0044_0016	別後俱々憶老蘇
HVH_016_0044_0017	乱離奔走子西旁
HVH_016_0044_0018	解逢半日驚千里
HVH_016_0044_0019	情結周星
HVH_016_0044_0020	意一遊跡禹甸
HVH_016_0044_0021	分留曾宝器
HVH_016_0044_0022	傲霜菊葉問
HVH_016_0044_0023	離歌傳説自笑終
HVH_016_0044_0024	徒補何處桃源共落声
HVH_016_0044_0025	和丘授楊玗元韻
HVH_016_0044_0026	問但清吳仍謫不
HVH_016_0044_0027	這相尋説似山林
HVH_016_0044_0028	峝原本璚化易
HVH_016_0044_0029	風濤自信美
HVH_016_0044_0030	路難憑
HVH_016_0044_0031	忽已碎
HVH_016_0044_0032	童弱琴為吾高
HVH_016_0044_0033	覊旅無張何收勞
HVH_016_0044_0034	焦無夢想
HVH_016_0044_0035	莫若步々笑中客
