HVH_016_0046_0001	笑可喜悲眷芳閨秀，依堪憐秋景露白霞蒼，想指點中城夜短，
HVH_016_0046_0002	情長，岡山此鼓風晨月夕，景况迷寄忠心碎，而翼何飛遥祷身其承
HVH_016_0046_0003	弦子孫遠吉萬熙
HVH_016_0046_0004	步友人韻元
HVH_016_0046_0005	離鄉望，迺沙塵此地还知長育君，雨降信能蘇旱穉，手援竝可拯
HVH_016_0046_0006	瘼民，恂乎野外生君子，有道舟中派敵人，造化多情原独厚，江山到处
HVH_016_0046_0007	肯憂貧
HVH_016_0046_0008	和高平按察春芳元韻
HVH_016_0046_0009	人生誰甚又誰非，心事相看半自違，版政（信）純聲邦必達（且），為民儂頌國之
HVH_016_0046_0010	（又改作莫嫌艾髮生班，且可羨松翁吐翠微）
HVH_016_0046_0011	肥，寇公髮白那歸老，范子胸藏也甚微，牧馬臺高新
HVH_016_0046_0012	（再改省芳今年始有艾而鬚鬢斑白過半他日相逢各自老弱此尚不棄為幸，今年俱共知非晚，脫相看壯志更服政不嫌髮鬢皎黃冠歸）
HVH_016_0046_0013	釀稻，期之他日共牽衣
HVH_016_0046_0014	里還初衣
HVH_016_0046_0015	和副御醫雲耕秀才阮迪元韻
HVH_016_0046_0016	長在漫々欲破昏，恩君不竟動飛魂，鴈書帶得南山信，鯨浪争高北海
HVH_016_0046_0017	樽，避雪新莊梅上嶺，傲霜晚節菊中園，草花春到東風主，莫問
