HVH_016_0060_0001	往逼竊翁似蠹魚，徒笑洋洒也何如。
HVH_016_0060_0002	怯田磽治磽千粟，腸胃多藏宿五車。
HVH_016_0060_0003	門進清凡流游友庭生翠，草助奇書奄九噬。
HVH_016_0060_0004	忘飢竟老歸同素，無事集賀奉上履澤庚才黎翁詩  五十五壽性氣江湖客，讀書家世香。
HVH_016_0060_0005	天真嬉壽脉，馬黙叶年芳。
HVH_016_0060_0006	藂菊河城里，調蘭東海，野心身澤史。
HVH_016_0060_0007	籍册永昌文，章的潤塵波，外太和作飲湯。
HVH_016_0060_0008	奉上原富平守山陽尹二黎翁詩一家兄弟可相方，好里黃冠啟壽觴。
HVH_016_0060_0009	幾會漁樵談古易，經荒松菊謂羲皇。
HVH_016_0060_0010	幽事冊却都無一事，有圖書尚滿箱。
HVH_016_0060_0011	仙骨完人天亦信，日斟歡妥老原張。
HVH_016_0060_0012	又和元韵為耒在翁徑平松有天申，屈指馬園默，分眉栢酒春。
HVH_016_0060_0013	董鄉原從古行贗農，及底葭芳樓。
HVH_016_0060_0014	老的梓枌宴，蜈凍治平秋。
HVH_016_0060_0015	我引几豆計年新，閉戶濤城市，墳澆翫茨的。
HVH_016_0060_0016	寄支竜伋台書居而離別更，昔農老相別已周星矣，風晨月夕，問何日忘？
HVH_016_0060_0017	珎我潢江相賈，挂帆順風送。
HVH_016_0060_0018	我寄迹無何嵗暮，此亦以幸也。
HVH_016_0060_0019	回想草紛綠，聊為度歳，烟霞不似往年，笙歌一往相省，更再遥禱，豈無意再送？
HVH_016_0060_0020	春去日日好持杯，幸甚，餘不贅
