HVH_016_0061_0001	七十自述造化生吾自，情好愛月狂。
HVH_016_0061_0002	徒思懶安問，心多設詭致平。
HVH_016_0061_0003	何日少知幾，道万事人無或有文章水，已信終疑白首青。
HVH_016_0061_0004	偏近似臺康，璆粗得愚而。
HVH_016_0061_0005	冬至日盍從今日禧，何以冬至早。
HVH_016_0061_0006	於西先祖若，知至王氏矓。
HVH_016_0061_0007	吾人曾有憂，照不殿人青忘圖，巢只春野鳥。
HVH_016_0061_0008	無毫雞我，好音誰是者。
HVH_016_0061_0009	明相逢指，美人多。
HVH_016_0061_0010	偶古獨坐深，清致塵外途。
HVH_016_0061_0011	兒女歌南，低頭問唯。
HVH_016_0061_0012	汚耳掛虜，吾路支動心慈已逃禪，那有靜避人。
HVH_016_0061_0013	落落悲尤深，桃花源記得。
HVH_016_0061_0014	天津路何處，漁郎去後尋。
HVH_016_0061_0015	遊白梅序 坊蓮派寺記丁酉冬十月上澣，同果巡撫武公招，以遊寺也。
HVH_016_0061_0016	且月前既招以遊，右衛公又招，以送蓮派寺。
HVH_016_0061_0017	想云高風，自別送真僑。
HVH_016_0061_0018	多學歌逃禪，此行老、五三步車後先，招邀而候已到。
HVH_016_0061_0019	禪已見，云持一戔立道旁。
HVH_016_0061_0020	曰有蓏喧，宜少寬引檔在，暫停驂茶。
HVH_016_0061_0021	濃淡紙無，丹畫拜共歲，石子爭昂盍。
HVH_016_0061_0022	度幻於三百六著，聘彼橫於一十九行。
HVH_016_0061_0023	膈、膊、冷、寒、立芳，則竜蟠虎踞，爭劫妙熟。
HVH_016_0061_0024	起鶻翔攻，心不急。
HVH_016_0061_0025	荷子不繁，局外闲窺。
HVH_016_0061_0026	會贏輸，方術于中寓。
HVH_016_0061_0027	意況彼此，真詮墨白。
HVH_016_0061_0028	於、死生惕，虞他两、懊惱。
HVH_016_0061_0029	因終、哭吾得得，誚眼寬胸。
HVH_016_0061_0030	奠思喝宋，成功泉。
HVH_016_0061_0031	何嘆全軍，化鶴想其，謝万、別墅平。
