HVH_017_0001_0001	真福剛國公傳
HVH_017_0001_0002	阮熾其真福上舍人也其父値陳末不樂仕進恃于古鄉之
HVH_017_0001_0003	寺作和尚禪師毎夜鷄鳴焚香者皆誦經有屠猪人居于
HVH_017_0001_0004	寺傍即起殺猪他日伊甞買牝猪不覺伊猪有孕期以旦日宰作
HVH_017_0001_0005	是夜禪師夢有婦人哀號曰願公今夜勿宰特救我母子八九
HVH_017_0001_0006	之命禪師從其言已而屠人晏起此猪遂生得八子禪師奇
HVH_017_0001_0007	其事遂尽買那猪母子放生于山後月禪師為虎所咬將壅于山
HVH_017_0001_0008	明日人家尋之則見已成大肂唯肂自謂之曰此乃虎葬吉穴也是脉
HVH_017_0001_0009	改熾已長十七歲家計單寒遂就清化地方賣油為業交
HVH_017_0001_0010	東山縣天已暮傍無民居望山有一庵遂投宿焉至二更聞車
HVH_017_0001_0011	馬之聲且聞有人謂伊廟神曰今夜天庭勅會百神定主安南
HVH_017_0001_0012	天子這開大事毋得欠也其伊廟神言我有座貴客寄宿于
HVH_017_0001_0013	此莫敢他適但有所問願還以告四更未復聞聲謂已安南皇
HVH_017_0001_0014	帝其人即藍山瑞原姓黎名利許以申月申日申時起兵十年而
HVH_017_0001_0015	始定已而鷄鳴急起尋至藍山具以所見之事陳暴尊黎太
HVH_017_0001_0016	祖已有手下三四百人素有壯志及聞熾言即是年七月起
