HVH_017_0004_0001	溫飽食之說于叔龢先行造雷公繩奉母而去搖震甫畢天大
HVH_017_0004_0002	雷電風雨雷霹靂一聲打死伊人于守送京師縣官處分畢
HVH_017_0004_0003	立時見尚書阮伯璘自京赴家遇此亭謂人曰子等猶不信
HVH_017_0004_0004	己之言乎但吾常聞救被雷者用此
HVH_017_0004_0005	醋洗之果見於背顯八字曰懲媳與母
HVH_017_0004_0006	惡極不容隱異哉
HVH_017_0004_0007	演州太守傳記
HVH_017_0004_0008	太守公羅曰缶娶妻楊氏產下六女皆亦及笄適演州任所
HVH_017_0004_0009	妻復懷胎已七八月忽夢神人告云明日此處霹靂吾送生男
HVH_017_0004_0010	可用鐵針刺其頂是旦果雷已而生男頂上有鐵針痕
HVH_017_0004_0011	至六歲顏貌非常俗名金鎔十七歲試中貢士一日訴于父母
HVH_017_0004_0012	曰兒今已弱冠又預生員豈可還受輪迴之事而
HVH_017_0004_0013	去拔鐵針如同無疾以與朋友言笑卽時拔去
HVH_017_0004_0014	忽然金鎔仰卧于地而死公不勝哀旁人以為父子情深
HVH_017_0004_0015	金鎔之妻姜氏往外甚熱而太守往避暑于道旁
HVH_017_0004_0016	而見公無恙大怪之方問曰汝死已三月矣何得生還
