HVH_017_0008_0001	武睿山圍程舍人未第時北國人客塾相墓断云此舍人骨也
HVH_017_0008_0002	于人疎沗躬洪德庚戌科會試中狀元及對策聖宗賞其才
HVH_017_0008_0003	嘆曰他日國器也又如人當爲中狀及子弟歷仕尚書東閣
HVH_017_0008_0004	經筵少保程溪侯及登庸弑位陰賂公以百金公擲之罵曰我受
HVH_017_0008_0005	朝廷養之恩不能竭義以報寧能易面受辟如張婦李妻之態乎
HVH_017_0008_0006	辭冠還鄉里登庸僭位使人召公公獨付家事詣京及登庸面
HVH_017_0008_0007	前慰諭公即食羹當唾登庸之面大罵曰汝篡國罪人敬撫我生爲
HVH_017_0008_0008	黎臣死爲黎鬼豈肯賣國圖全如潘廷佐黄文賞之類耶言訖
HVH_017_0008_0009	以刀刺頸而死厥後本朝推節義之臣二十人公獨居其首焉
HVH_017_0008_0010	阮克寬傳
HVH_017_0008_0011	阮克寬武江人也母生於亥年亥月因名曰猪公生而穎悟神童名人
HVH_017_0008_0012	皆以状元許之太和六年戊辰科會試仁宗皇帝夢見神人詰顯告
HVH_017_0008_0013	今科猪中状元及殿試唱名乃阮克寬上怪其夢無驗以問克寬
HVH_017_0008_0014	答曰對臣少時父母命名曰猪果尔神言不誷上謂群臣曰吾
HVH_017_0008_0015	之此夢狀元指卽克寬也奈何世之儒者不究由耒妄肆為雌
HVH_017_0008_0016	雄乃謂克寬與岳母淫污故調之狀元猪而注于登錄之中遂使千
