HVH_017_0011_0001	長於簞瓢之家遽登金榜銀之榜公曰人生寄世八十年富貴不
HVH_017_0011_0002	過黃梁一夢乃棄去尋八詹嶺山採藥行三日許至深林中
HVH_017_0011_0003	遇一老人持竹杖着道衣公見其得道真人即前先生拜跪云
HVH_017_0011_0004	敘已志老人即將携以歸行半里許望見草屋數間公隨老人
HVH_017_0011_0005	只見屏上小書一卷傍有水盂寂無人隷役持又与公勺水俾
HVH_017_0011_0006	饔飱主又授公一囊謂曰歸而求之有餘解師矣言訖入屋
HVH_017_0011_0007	便昏夜了公望日出處而还頃刻到民居自往而还旁指已十二
HVH_017_0011_0008	矣是特公三十歳親戚鄉里唯奇其事曾不竟其成仙或
HVH_017_0011_0009	寢十餘日起三月只啜粥時人常以狂夫呼之公有親姑年已
HVH_017_0011_0010	七旬寡居無子衣食不克公許給錢二十文謂之曰若買二十文則
HVH_017_0011_0011	留一文可用一身姑信其言旦買則暮还總得一年及姑死而
HVH_017_0011_0012	錢失矣公常遊玉山宿客館謂老婦曰此處常有火灾大作我与
HVH_017_0011_0013	汝一甕酒若見火灾起當以此酒洒之否則他屋延燒終……
HVH_017_0011_0014	無救之理已而邻社果失火正值五月南風人不能救老婦思公
HVH_017_0011_0015	言以酒洒之忽大雨滂沱火始滅雨中有酒氣三日不散公
HVH_017_0011_0016	常過弘化縣見有老人乞丐年七十餘公憐其老賜之錢去
