HVH_017_0014_0001	文勢太劣不許入榜是夜陳貴夢見神人謂曰明日早時思
HVH_017_0014_0002	當洒掃门庭以待同科進士来旦日公方行軒分候待久
HVH_017_0014_0003	之忽見名標傴僂而入问曰即弟出何早對曰昨微痼
HVH_017_0014_0004	疢不府名书强山故望堂尊印回为請托幸預有名校官
HVH_017_0014_0005	海西弟子感恩多矣公依令递以下邑给钱之利懇
HVH_017_0014_0006	校官投单乞化未及唱名天忽大雨雷擊此人死于名標遂免
HVH_017_0014_0007	是科八人均目名德預夢神人謂曰禹貢二篇須周詳燕夢竟
HVH_017_0014_0008	即取禹貢大叶大田赋尽皆细写惟書八場累然御題多出
HVH_017_0014_0009	禹貢名德得尽但文勢淡淡殊无起意因傷发不叙及
HVH_017_0014_0010	送分塲官提調危讓益諍霸房卷見名德卷各評雖非
HVH_017_0014_0011	确偉然禹貢句々素得評不量非深尢不能試後批中後寔
HVH_017_0014_0012	卒之及癸丑年其之地地方瘟疫大作留所祈人夜
HVH_017_0014_0013	夢絞叢中夜見眾鬼群行数百組生船中入捉籍指曰
HVH_017_0014_0014	此是禹所加界分明次及但今年三月陳名德試中進士須當
HVH_017_0014_0015	为荒地方便得免毒患以進士堂歸矣遂即提行他境急赴試期
