HVH_017_0028_0001	公宰彬急遂往戢國家極力建留戊戌科中進士及
HVH_017_0028_0002	第策中第一甲第三名佐人過仕還家大呼曰武公宰
HVH_017_0028_0003	中擢花二公以言密相激皆能送于大邦右言致身歸相仕
HVH_017_0028_0004	之因厚邀而致之顧初公宰以參從吏部尚書郡公爵贈少保及仕
HVH_017_0028_0005	仕退以道謀乃名背不負科目云愚按仕退作太宗的失譯論
HVH_017_0028_0006	真是文林巨擘
HVH_017_0028_0007	鎮武觀神受顯應記
HVH_017_0028_0008	玄天真君北國人也生而神異七十二天子國立廟于西湖之上以祀之
HVH_017_0028_0009	鄭王乃以黑銅鑄像重三千六百斤吉慶載萬就觀求受但
HVH_017_0028_0010	受所見言寒鞋測事夥仰方覽耳唐高宗道川花公者受見
HVH_017_0028_0011	寫一薨字于掌中公惶恐不敢向人言已而公戊辰科中第三
HVH_017_0028_0012	甲同進士出身仕至參從吏部尚書兼東閣大學士掌六部
HVH_017_0028_0013	事少保國老燕郡公贈太宰致仕而卒史官書之曰花公者薨
HVH_017_0028_0014	字受其秘子孫始出誌云李氏月蓋人阮國瑛受見食二人亦及中
HVH_017_0028_0015	解元又中永壽二年己亥科人皆謂應此夢也後執政仕至左右侍郎
HVH_017_0028_0016	被藩兵打死于馬門鄭王痛惜贈兵部尚書郡公爵進封福神
HVH_017_0028_0017	錄用子孫爲躬仍二仍轉二六即如祭于公之墓而此夢始設邑靈
