HVH_018_0010_0001	剏藝精華前編卷之一
HVH_018_0010_0002	古皇部
HVH_018_0010_0003	古皇
HVH_018_0010_0004	虹繞華胥之渚風姓蜚声斗臨軒帝之壇電光紀瑞
HVH_018_0010_0005	岐雷乃黄帝之臣縉雲為帝鴻之裔 神農氏有卿雲
HVH_018_0010_0006	之瑞高陽氏有貫月之祥有熊氏有破霧之車高辛氏有盛
HVH_018_0010_0007	露之甕 黄帝造恊月之簫顓頊制承雲之樂
HVH_018_0010_0008	臾區占星車區占風羲和占日常儀占月 伏羲以風為
HVH_018_0010_0009	姓黄帝以雲紀官 日角表黄帝之度虹光兆大昊之祥
HVH_018_0010_0010	龍岡 卷之一 古皇 藏板
HVH_018_0010_0011	黄帝作葢天之歷顓頊改正月之元 以上顓 卿雲呈瑞陽月報功
HVH_018_0010_0012	籥圓卽以祖朝日節瑤階以揖夜光 以上神農 樂制雲門臣稱風后
HVH_018_0010_0013	瑞感飛星歷推迎日 景星見於攝提閃電感乎附寶
HVH_018_0010_0014	車成破霧數考中星 雷公察明堂究脉息風后營國邑畫
HVH_018_0010_0015	疆野 以上黃帝 五星會室八風辨音 顓頊 以上天文門
HVH_018_0010_0016	伏羲作連山神農居姜水 顓頊居濮水神農號烈山
HVH_018_0010_0017	女媧氏以石補天高辛氏以水德王 神農煮海為鹽黃帝築
HVH_018_0010_0018	壇除墠 伏羲都宛邱神農居曲阜黃帝長姬水顓頊誕
HVH_018_0010_0019	封高陽 伏羲使鳥明分土神農使白阜度地 以上總 仲起司
