HVH_018_0026_0001	成語 獨居首
HVH_018_0026_0002	知人則哲安人則惠、其智如神其仁如天 唐哉皇哉皇哉 以上精義門
HVH_018_0026_0003	唐哉臣哉鄰哉鄰哉臣哉 皇天眷命峻德克明
HVH_018_0026_0004	乃聖乃神乃武乃文 惟危惟微惟精惟一、不識不知順帝
HVH_018_0026_0005	之則無怠無荒四夷來王熙熙皞皞蕩蕩巍巍 惟辰惟幾
HVH_018_0026_0006	克明克俊、我饑之也我寒之也我陷之也何惧之有何事之有何
HVH_018_0026_0007	辱之有 仁昭義立德溥化光、百工允釐下民其咨
HVH_018_0026_0008	使民宜之惟帝辰克、言罔攸伏績用弗成、非台德誰能若
HVH_018_0026_0009	矧彼有鰥我其試哉、獨病諸獨憂之、以上成語門
HVH_018_0026_0010	麓岡 藏板
HVH_018_0026_0011	附紀年
HVH_018_0026_0012	五年巡狩四岳十五年始治兵、十六年渠搜氏來賓、
HVH_018_0026_0013	十九年命共工治河、二十九年焦僥氏來朝貢沒羽、
HVH_018_0026_0014	四十二年有景星見於翼、五十八年使后稷放朱於丹水、
HVH_018_0026_0015	七十年使四岳錫虞舜命、
