HVH_018_0037_0001	帝之儀南山思開疆之績 江南之會綺南之歌
HVH_018_0037_0002	東原底平西戎即叙 三危南徙弱水西流 東漸於海西
HVH_018_0037_0003	被於沙 東入於海南入於江 東會北會東入北入
HVH_018_0037_0004	北條之水源始崑崙南條之水源始岷嶓 導沇東出於陶邱
HVH_018_0037_0005	導淮東會於泗沂導漾渭東過於漆沮導漾東滙於彭蠡
HVH_018_0037_0006	導河東至於孟津 以上方位門
HVH_018_0037_0007	人品
HVH_018_0037_0008	讓咎繇之懷依警丹朱之傲慢 承夏歌自扶登鉤車作於奠
HVH_018_0037_0009	仲衍歷成自伯封締末掌於農官 其母曰志厥后名矯
HVH_018_0037_0010	命暨益度地紀命昭明作衍歷 以大成墨如子高寫師
HVH_018_0037_0011	龍岡 藏板
HVH_018_0037_0012	得童律狂章鴻蒙寫佐 儀狄以造酒伏誅支祁以治水息
HVH_018_0037_0013	憓
HVH_018_0037_0014	有苗之逆當徂征羣后乃會神尊之廟可受命若帝之
HVH_018_0037_0015	初 學於王悝妃寫攸女 以上人品門
HVH_018_0037_0016	數目
HVH_018_0037_0017	演九疇之範命錫上天作五子之歌訓追皇祖 身長九尺耳
HVH_018_0037_0018	有濔三 帝於帝堯二十有八載而戒賦獨緩於宛帝舜三十
HVH_018_0037_0019	有三載 一十六字心傳八神尊而受命二十二人襄賛先岳牧
HVH_018_0037_0020	以陳謨 四百載平成在手十二州筐篚偕來 十二師中邦
HVH_018_0037_0021	成賦五百里總結同登 肇十有二州而治水必始於冀作十有
HVH_018_0037_0022	三載而成賦獨緩於宛 四隩宅而九州同六府修而三事治
