HVH_018_0049_0001	天文　　地輿　　干支　　卦名咸聿求元聖，與有眾，請命。
HVH_018_0049_0002	爾百姓罹其凶害，予一人輯，爾邦家只未知獲戾於上下，並告無辜於神祇。
HVH_018_0049_0003	茲率庚典，奉若天命，各守爾典，以承天休。
HVH_018_0049_0004	（太甲　太戊　盤庚　武丁　以上成語門）惟先格王，兆呈形。
HVH_018_0049_0005	日以輔台，德命重寫，霖。
HVH_018_0049_0006	辰乃風，朕德咸仰汝作雨臣，職無漸。
HVH_018_0049_0007	宅憂者亮陰，緇誨者朝夕。
HVH_018_0049_0008	以上武丁，以上天文門盤庚涉於河，武丁遜於野。
HVH_018_0049_0009	愧恥若撻於市，危懼如隕於淵。
HVH_018_0049_0010	旁求顯傳，巖之迹，從諫新景，毫之猷。
HVH_018_0049_0011	以上武丁　以上地輿門太甲則敬聆申誥，太戊則始作寅車。
HVH_018_0049_0012	中存寅畏，嚚惑庚遷　（藏板）盤庚乙丑嗣位，辛巳放桐，太甲惟甲起我，總己聽宰。
HVH_018_0049_0013	小乙再世不振而紘其位，孝己事親至，孝以為之子。
HVH_018_0049_0014	（位嗣小辛，臣有祖己。
HVH_018_0049_0015	武丁　以上干支門）主善為師，太甲讒言洽比，盤庚咸乂王家，太戊震伐鬼方，武丁先王子惠困窮，臣下具訓，蒙士。
HVH_018_0049_0016	何敢怕於遊畋？
HVH_018_0049_0017	何敢比及頑童？
HVH_018_0049_0018	儆怕聾瞽，升高。
HVH_018_0049_0019	視烈祖，無辰豫，怠服萬夫，可以觀政。
HVH_018_0049_0020	以上太甲有咎比於罰，用奉畜汝眾。
HVH_018_0049_0021	弗知所訟，用宏茲賁。
HVH_018_0049_0022	有眾咸造，萬民震動。
HVH_018_0049_0023	汝不憂朕心，攸困曷不暨，幼孫有比。
HVH_018_0049_0024	子若觀大民用離居。
HVH_018_0049_0025	以上盤庚　　羣離心，則文德以升，修昇耳，則武功以奮。
