HVH_018_0050_0001	哀禋而緒振，湯孫調鼎而帝賚良弼。
HVH_018_0050_0002	稼穡匪解，典祀無豐。
HVH_018_0050_0003	旅楹興有閑之詠，避野來八宅之嗟。
HVH_018_0050_0004	以上武丁 以上卦名門戶躬先見於西邑，大甲 浮言胥動於南河。
HVH_018_0050_0005	盤庚 荊楚攝於南鄉，氐羌服 於西域。
HVH_018_0050_0006	武丁 偉畧越太行孟門而北，聲威跨洞庭彭蠡而東。
HVH_018_0050_0007	武丁以上方位門祖己以巫賢為相，武丁得祖己為臣。
HVH_018_0050_0008	見君更潮商王六臣而傅說不與。
HVH_018_0050_0009	武丁 以上人品門商書編 說命三篇 而甘盤附 太甲但桐宮者三載，武丁伐鬼方者三年。
HVH_018_0050_0010	以上總 虞義遷仁俟之三載，作書陳戒訓以三篇。
HVH_018_0050_0011	風儆以三德訓其龍岡 藏板一、作善降之百祥，惟天佑於一德、弗慮胡獲貞以萬邦厥德 靡常。
HVH_018_0050_0012	亡以九有。
HVH_018_0050_0013	以上大甲 七日而祥，桑自隕三年而重譯來朝。
HVH_018_0050_0014	太戊 千八百國會同而至。
HVH_018_0050_0015	五十九年安坐而幾。
HVH_018_0050_0016	始宅憂於三祀，終主極於四方。
HVH_018_0050_0017	際五遷之後，居三宗之中之六國 正四方德恐弗類，總百官率乃以匡。
HVH_018_0050_0018	修貢者帝命之九圍來王者重譯衡錯八鸞之美 旂揚十乗之光。
HVH_018_0050_0019	說命三篇，啟沃之真誠，畢見。
HVH_018_0050_0020	荊楚一撻，聲靈之赫濯彌長。
HVH_018_0050_0021	亮陰三載，學半 以上武丁，心肩以一誓，作以三。
HVH_018_0050_0022	盤庚 以上數目門冕服以奉嗣王。
HVH_018_0050_0023	大甲 貝玉以告高后。
HVH_018_0050_0024	盤庚 若網在綱，若舟輿載。
HVH_018_0050_0025	盤庚 貨貴無總器，非求舊。
HVH_018_0050_0026	盤庚 君也如木從繩，臣也若金作礪。
HVH_018_0050_0027	興於版築
