HVH_018_0055_0001	夏書終於汝鳩商書終於微子賢人去而國亡矣伊尹之後有伊
HVH_018_0055_0002	陟祖乙之後有祖己世臣繕而國盛矣 祖伊不介言西伯讀戡
HVH_018_0055_0003	黎知周德之盛父師亦志切遜荒讀微子見殷亂之深
HVH_018_0055_0004	讀微子之篇不聞箕子一語知請獻之有真也兒戡黎之告未及
HVH_018_0055_0005	西伯一詞知服事之共喻也 呼父師少師而歎乱正微子初無
HVH_018_0055_0006	出迪之心称自靖自獻以答天災箕子已决行遜之志 以上精義門
HVH_018_0055_0007	暴殄天物淫虐危害庶民焚炙忠良剗剔孕婦故黜師保崇信奸回
HVH_018_0055_0008	囚奴正士屏棄典刑 罪人以族官人以世謂祭無益謂暴無傷
HVH_018_0055_0009	郊社不修宗廟不享自絕於天結怨於泯民 古興沉酗於酒
HVH_018_0055_0010	乃能責命於天 悅婦人作奇技淫巧殘百姓帷臺榭陂池
HVH_018_0055_0011	侯作侯祝是崇是長 如沸如湯靡屆靡究 若涉大水其
HVH_018_0055_0012	無津涯舊云刻子我乃顚躋 凡有罪乃罔恒獲用以容將食
HVH_018_0055_0013	無災 我祖陳於上家髦遜於荒 乃罔畏亦其攷
HVH_018_0055_0014	我生不有命在天昏棄厥肆祀弗咎 小民方興相為敵讎言上帝
HVH_018_0055_0015	弗順祝降喪 播棄黎老昵比罪人剗喪元良賊虐諫輔
HVH_018_0055_0016	用降凶德罔有悛心 以上成語門
