HVH_018_0060_0001	嫡長以繼宗矣而紹隆大業者自王季始 讀天作之詩一則曰大王荒
HVH_018_0060_0002	之再則曰文王康之則述文王即以述大王矣讀皇矣一篇一則曰王此大邦
HVH_018_0060_0003	再則曰此於文王則述文王即以述王季矣 所以古公亶父等出詩人追
HVH_018_0060_0004	叙之口而當年孝子告廟已儼然接膺圖受籙之文所以周公季歷不過
HVH_018_0060_0005	史臣紀實之言而當日祝史陳詞已早極夫懿鑠顯庸之號
HVH_018_0060_0006	生民紀后稷稼穡之事何以必編於行葦既醉以前明受命之有本也公劉述
HVH_018_0060_0007	豳風疆理之功何以必編於泂酌卷阿而上見興業之有由也
HVH_018_0060_0008	公劉詠徹田即井牧所由昉也靈臺詠辟雍即國學所由建也
HVH_018_0060_0009	皇矣數章一則曰其德克明再則曰其德克類文王一篇始則曰帝命不辰
HVH_018_0060_0010	終則曰天命靡常 皇矣數陳帝眷之文明周家得統之正下
HVH_018_0060_0011	龍岡 藏板
HVH_018_0060_0012	武必詳世德之美明周家受命之隆 公劉可以奠甌脫而徹
HVH_018_0060_0013	田並立兵農之法所由興君宗與庶繁並治上下之經所由定綿詩可
HVH_018_0060_0014	以免禮作廟必先於隩築室即周家孝治之本宣畝不後於立門即周家
HVH_018_0060_0015	穡事之基 讀天作一詩備言荒度之功而王季不與讀綿
HVH_018_0060_0016	詩詳及胥宇之事而王季無聞 以上精義門
HVH_018_0060_0017	成語 太王肇基王迹 休其永宁（王季） 王季其勤王家克自抑畏 天立厥配（太王）
HVH_018_0060_0018	帝度其心（王季） 迺疆迺理迺宣迺畝（大王） 克明克類克長克君（王季） 于時處（公劉）
HVH_018_0060_0019	處于時言于時語（公劉） 拹之陜度之薨築之登（太王） 立我烝民（后）
