HVH_018_0069_0001	武無易故周公作象祇贊文言武有書而文無書故孟津誓師追称
HVH_018_0069_0002	文考
HVH_018_0069_0003	文政文傳
HVH_018_0069_0004	治民之道莫要於度訓命訓常訓禮國之經莫備於文酌
HVH_018_0069_0005	大臣見救荒之典權臣見恤災之經[作]  匡謬所以劉
HVH_018_0069_0006	法謀雄所以作酆保開雕寫王業之起於家且免而下見王道之成
HVH_018_0069_0007	桃夭而上見王業之起於家且免而下見王道之行於國
HVH_018_0069_0008	葛覃咏言而即周家孝治之本汝墳識公義即周家文教之興
HVH_018_0069_0009	桃夭不先於櫻木國之化始於家騶虞必應乎関雎下之行端自
HVH_018_0069_0010	上
HVH_018_0069_0011	草蟲為卷耳之應標梅寫漢廣之應穠矣寫桃夭
HVH_018_0069_0012	之應
HVH_018_0069_0013	戡黎無介言西伯之事泰誓必數称文考之功
HVH_018_0069_0014	[成語] 龍岡
HVH_018_0069_0015	讀大雅而帝謂文王者三讀小雅而文咨殷商者七 以上精義門 [藏板]
HVH_018_0069_0016	徽柔慤恭惠鮮怀保 天作之合文定厥祥 求我庶士嗟我怀
HVH_018_0069_0017	个
HVH_018_0069_0018	使君壽考天下文明 克昌厥後於昭于天 濟濟辟王
HVH_018_0069_0019	戢戢髦士振振公子赴之武夫 日有疏附日有先後日有奔走日
HVH_018_0069_0020	有禦侮居岐之陽在渭之將萬邦之方下民之王 厥德不同有命既
HVH_018_0069_0021	集
HVH_018_0069_0022	神罔辰怨神罔辰恫四方無侮四方無侲 無声無臭亦保亦
HVH_018_0069_0023	臨
HVH_018_0069_0024	以对于上下以御于家邦 成人有德小子有造大邦畏力小邦
HVH_018_0069_0025	怀德
HVH_018_0069_0026	惟祳怙冒尚克修和 媚茲一人綏予小子 克成祖勳誕
HVH_018_0069_0027	膺天命
HVH_018_0069_0028	穆穆文王緝熈敬止亶亶文王令聞不已 光於四方顯於
