HVH_019_0003_0001	卦名
HVH_019_0003_0002	之復萬國羣飲其俎豆庚戌告武成之事百神尽享其馨香
HVH_019_0003_0003	畔甲而藏赤子如保 鬻子著書武庚肆叛 受辛虐矣夫子
HVH_019_0003_0004	勛哉 九年継未集之勲四方甫申勸之德 王瀾辛箴周
HVH_019_0003_0005	正子建 以上干支門
HVH_019_0003_0006	受辛其旅武作之師 易占革命詩頌豊年 射息毋貝革
HVH_019_0003_0007	誓乃徇師 对若林之旅集於縢之師 奉卅書寫子孫之
HVH_019_0003_0008	恒橐弓矢示天下弗復 大巡六師用遷九鼎 克敵年豊
HVH_019_0003_0009	怀柔声震 豊垣百堵泰誓三篇 豊水東注旅貢西来
HVH_019_0003_0010	上帝臨汝天命革殷 天休震動四夷咸賓 士備免貢戡分亞旅
HVH_019_0003_0011	龍門
HVH_019_0003_0012	藏板
HVH_019_0003_0013	方位
HVH_019_0003_0014	寫履屨之銘封比干之墓 分戡而命師氏修德而備豊財
HVH_019_0003_0015	非性不畜有疾弗豫 以上卦名門
HVH_019_0003_0016	興南單之役顕西土之光 河北次師社南即位 十三年載主而東
HVH_019_0003_0017	億萬旅倒戈以北 先王之道不北面大武之樂則南疆 爲壇於南
HVH_019_0003_0018	方北面受書則西折東面 肆予東征逖矣西土 樂則始而地三
HVH_019_0003_0019	而南化則始自西継自東 抱噐之臣封諸東海有萋之客繫
HVH_019_0003_0020	自西雛 王心西眷王土南望 濟河而西攻後以北 十五王北
HVH_019_0003_0021	面而臣之八百國東伐而取之 天道尚左故日月西馳後地道尚
HVH_019_0003_0022	右故水泉東注 太河以南太行以北豊水之東鎬京之西
