HVH_019_0004_0001	人名
HVH_019_0004_0002	以上方位門
HVH_019_0004_0003	筐篚壺漿士女競東征之獻散財發粟恩膏命南宮而施
HVH_019_0004_0004	季剃不靖禄父旋畔 膠鬲本属商臣而不膺茅土夷齊本
HVH_019_0004_0005	寫殷士而未錫宗彞 封神農之後於焦封皇帝之後於祝
HVH_019_0004_0006	封堯之後於薊封舜之後於陳封禹之後於杞 封旦於魯封伋
HVH_019_0004_0007	於齊封奭於燕封度於蔡 釋箕子囚封比干墓式商容閭
HVH_019_0004_0008	〇太公為師周公為輔 周公畢公把鉞太顛閎夭執劍
HVH_019_0004_0009	召公贊采尚父牽牲毛叔奉水康叔傳禮尹佚册祝叔振奏假
HVH_019_0004_0010	以上人品門
HVH_019_0004_0011	龍岡
HVH_019_0004_0012	藏板
HVH_019_0004_0013	數目
HVH_019_0004_0014	大統未集於九年武成大告諧三日 合三千而惟一心弼一人以清
HVH_019_0004_0015	四海 列屏翰者六十年戴聖明者五十載 萬斯年繩武
HVH_019_0004_0016	之光千百國為心之慶 十七銘爰坪丹書十三祀備陳箕範
HVH_019_0004_0017	遵養遜以十三年何嘗有利敵之心興兵會予八百國知寔為應
HVH_019_0004_0018	人之舉 帝齡而與以三年豈終於九年一戎衣而着以一心自合
HVH_019_0004_0019	以三千 積累溯十五王以上卜世歷七百載而遠 六百年之養
HVH_019_0004_0020	士君子未必不念先王三十世之撫綏小人未必不思舊德 事修其
HVH_019_0004_0021	三教敷其五列爵惟五分土惟三 養三老五更通九夷八蛮
HVH_019_0004_0022	四方和會九疇燦於東都八百来同六服朝於正朔 壁言爲山於
