HVH_019_0005_0001	九仞一簣功虧懃穜卜於三壇二公心坁望三籥之威洛邑方營歌
HVH_019_0005_0002	四方之同顒京初宅卜宅於京充配在天之三后告成於廟禋明
HVH_019_0005_0003	無罪於三王萬方有罪曰予一人百姓有過在予一人
HVH_019_0005_0004	進玩物玩人之戒百度惟貞凜敬勝義勝之大萬世攸賴
HVH_019_0005_0005	四達以象道之隆六成以鳴樂之盛告龠歌大武三章訪範衍簨
HVH_019_0005_0006	疇五福同召公分陝於二京郊郛成勳於九鼎追王三王媚
HVH_019_0005_0007	茲一人册祝以三齡錫以九師巡其六妖祀以三樂立四表鼎
HVH_019_0005_0008	遷三巫重三恪之封遇二士之諫道則垂通乎八疾則龜卜以
HVH_019_0005_0009	三覓兵若再誓師者三乃一德無貳心季蒯三監尹氏八士
HVH_019_0005_0010	龍岡 藏板 二公分陝三叔監殷千夫長百夫長三百人三千人同心同德十臣
HVH_019_0005_0011	共見其兢々一德一心百姓羣深其懷六步七步四伐五伐
HVH_019_0005_0012	朱色 一傳會河朔之師百世宗明堂之祀以上數目門
HVH_019_0005_0013	赤鳥集瑞何殊鳴鳳於高岡白魚呈祥不啻歌魴於汝水蒼兕呼於
HVH_019_0005_0014	尚父元龜命於姬公皇帝之道存乎赤人之書授矣鉞仗其黃
HVH_019_0005_0015	旌麾其白燾黃土以酬勳苞白茅而錫爵赤子切誠求之念冊書
HVH_019_0005_0016	懷息穀之箴以上朱色門
HVH_019_0005_0017	器具 秉旄仗鉞脫劍橐弓建索戢武啟籥見書拕器陳晴秉圭植
HVH_019_0005_0018	璧神晃縉笏割牲執醬民筐女酒貢矢獻獒
