HVH_019_0013_0001	虞其蠢動桃蟲亦慮其拚飛 鳧鷖興歌夫朱燕鳳凰致美於來
HVH_019_0013_0002	游 鵽鵵陳東土之歌鳴鳥卜西郊之瑞 奉寶龜而使紹翶桐鳳而
HVH_019_0013_0003	使鳴 撻伯禽示世子之道誄飛鳥厘家相之憂 鰥寡允蠢公尸
HVH_019_0013_0004	來燕 辟幸奄光之錫君俎燕喜之休 小腆多逋播之臣患幾同於
HVH_019_0013_0005	蜂螫三監啟流言之釁禍更甚於鷄音 巢鳳菝麟異物且宜
HVH_019_0013_0006	矣何有於群黎旅獒越雉異域且宜矣何況於群黎諸夏
HVH_019_0013_0007	鵞飛馬縶我客宜而我客宜而我臣可知矣鴻範黽疇為師宜而為友
HVH_019_0013_0008	可想矣 以上動物門
HVH_019_0013_0009	龍岡 朕未有艾予集於蓼 桑土綢繆葛藟宮惕勵 滅蒲姑呂齒伯
HVH_019_0013_0010	桃有蟲予毖彼愚桐有鳳我樂卷阿 梓材作詰桐葉分封
HVH_019_0013_0011	郾有黍北有禾禽有菅路有竹 播厥菑以喻厥子播厥穀以戒農
HVH_019_0013_0012	官 唐叔有嘉禾之獻周公作書奏之書 箕風畢雨依蘋藻以
HVH_019_0013_0013	潛魚車庶馬開閉蔚梧桐而集鳳 交互之業幣借陳絕域之沙車悉
HVH_019_0013_0014	至 大木斯拔嘉禾可為 以上植物門
HVH_019_0013_0015	紹庭上下翻室甄摇 喻作室征弗庭 之綱之紀亦酒亦殽 君子著
HVH_019_0013_0016	顯之德上帝弼五之基 令德而似先公商吉人而惟君子使
HVH_019_0013_0017	大艱知小國之疕小腆紀殷人之緒 無遺壽耆克保純瑕 祝雍作
HVH_019_0013_0018	頌王會成圖 佛時仔肩卒瘵予口 弼五基於初服紹聞衣於德
