HVH_019_0017_0001	制藝精華前編卷之八
HVH_019_0017_0002	帝王部
HVH_019_0017_0003	康王 穆王 宣王 平王
HVH_019_0017_0004	樹之風声康王 倬彼雲漢宣王 惟日不足宣王 曷月還归平王 危惧
HVH_019_0017_0005	春水怨咨夏雨 白雲進王母之謡雨雪輿凍人之歎以上穆王 日
HVH_019_0017_0006	月陽止雨雪来思 穆如春風庄也作頌往矣春日士也怀伤
HVH_019_0017_0007	羣俊夜飲露則湛斯將士冬来雪則霏斯 六月飭戎吉日酌
HVH_019_0017_0008	醴 我車則如霆而如雷我客且永朝而永夕以上宣王 以上天文門
HVH_019_0017_0009	梁山以餞韓侯宣王 揚水以成申國平王 表厥宅里殊厥井疆康王
HVH_019_0017_0010	龍岡 卷八 帝王 莊王下 藏板
HVH_019_0017_0011	鵠於當水獵於滲澤鶩於陽紆濟於温谷飲於枝河望於眷
HVH_019_0017_0012	山休於羣玉 升於弁山飲於渢水饗於羽琌釣於漸澤宿於
HVH_019_0017_0013	萑梁敏於留祈射於麗虎遊於黄室食於桑野以上穆王 嵩嶽降靈
HVH_019_0017_0014	岡陵祝壽 命秦仲以却西戎命南仲以襄玁狁命方叔以威蠻荊
HVH_019_0017_0015	命召虎以平淮夷以上宣王 以上地輿門
HVH_019_0017_0016	南門通子康王 嵩嶽生申宣王 壬申至豊康王 庚午羞馬宣王 申畫郊圻
HVH_019_0017_0017	康王 辰德碩女平王 視朝而歌未艾宣王 錫嘏而詠壬林平王 丁卯作
HVH_019_0017_0018	冊癸酉須林康王 歌伐木之丁憂采薇之戌宣王 日占吉戌物暢
HVH_019_0017_0019	由庚宣王 通子釗於門康王 定申伯之宅宣王 閔予小子不與成申
