HVH_019_0020_0001	潔
HVH_019_0020_0002	茀覿會同之盛
HVH_019_0020_0003	德而羣黎徧矣
HVH_019_0020_0004	白旆揚元戎之威赤
HVH_019_0020_0005	干戈逆於門劉鉞執於階弓矢陳於房几席設於序 瘗壁禮河
HVH_019_0020_0006	則冕禕褘帶搢笏夾佩披圖視典則玉果璠珠燭銀金膏
HVH_019_0020_0007	登鐵山觴瑤池 金玉爾音瑟琴我樂 我車既攻舍矢如破
HVH_019_0020_0008	擯爾齎豆畏此簡書 建旐設旄下莞上簟 鐘鼓既設弓
HVH_019_0020_0009	矢既調 宴飲則鼓瑟吹笙田獵則張弓挾矢 君子之車 如輊如
HVH_019_0020_0010	軒他山之石攻玉攻錯 出車則彭彭矣伐鼓則淵淵矣 戎車則嘽嘽
HVH_019_0020_0011	矣旂旐則央央矣 錫申伯者駱車乘馬嘉賓饗者淑旂綏章
HVH_019_0020_0012	釐瓚以告文人脫簪以成婦道
HVH_019_0020_0013	穆王則八駿是乘宣王則四驪既駕 伐越輿鼉之駕 征淮揚虓
HVH_019_0020_0014	虎之威 虎尾極憂危之象 鴻飛勞還定之功 外則有熊羆
HVH_019_0020_0015	之士 內則有鵽鴒之親 迎王則武士崔弁即位則卿士蟻裳 佩
HVH_019_0020_0016	魚服曰豈不戒聽鸞聲夜如何其 鹿鳴於野兔罿於京
HVH_019_0020_0017	客來則鴻雁嗷嗷從田則麀鹿麌麌 白駒歌而留賢無羊咏以
HVH_019_0020_0018	考牧 祀兕御客貓虎禦犂 牛羊享祖羝牡速賓
HVH_019_0020_0019	玁狁匪茹蠻荊來威 瓚珪錫社召伯楊虎笮之休焦穫出師
