HVH_019_0024_0001	制藝精華前編卷之九
HVH_019_0024_0002	帝王部
HVH_019_0024_0003	厲王 幽王
HVH_019_0024_0004	天文
HVH_019_0024_0005	民歌四月人怨三星、有窘陰雨其爲飄風、正月繁霜十月震
HVH_019_0024_0006	電、日月告凶雨雪曰消、匪風無王天漢有章、霜可履矣
HVH_019_0024_0007	日有食之、視天夢々飄風發々、雨無正月斯生 以上天文門
HVH_019_0024_0008	地輿
HVH_019_0024_0009	不敢馮河甚於防川、胡逝我梁如臨深淵、揚水興戍士之懷歸
HVH_019_0024_0010	褒艷妻之笑、道謀築室哲婦傾城、指維石而具尔貽歌
HVH_019_0024_0011	下泉而傷無伯、山崒崩矣川沸騰矣、謂天葢高謂地
HVH_019_0024_0012	龍岡 卷九 帝王 藏板
HVH_019_0024_0013	益厚、莫高匪山莫浚匪泉 以上地輿門
HVH_019_0024_0014	干支
HVH_019_0024_0015	日食心憂於辛卯水流怨起於戊申、我辰安在之悲之子于歸
HVH_019_0024_0016	懷內之歎、困役而悲長庚以史而付槩子、娶申女廢后怒申
HVH_019_0024_0017	以上干支門
HVH_019_0024_0018	侯
HVH_019_0024_0019	佖離有女洽北其隣、節彼南山履兮扁石、摧則歎其乾矣
HVH_019_0024_0020	黍則傷其離矣、無從詭隨無敢戲豫、不離于裏不屬于
HVH_019_0024_0021	毛、如臨于谷如集于木、黍則動離々之歎石則興漸々之歌
HVH_019_0024_0022	周宗滅而悲大夫之離周道非而歎君子之履、雉則離於羅矣
HVH_019_0024_0023	猱則升於木矣、川已震于渭矣月已離於畢矣
