HVH_019_0025_0001	絆、歎履霜之苦赫、貽師尹之威　如臨深淵如履薄冰
HVH_019_0025_0002	以上卦名門
HVH_019_0025_0003	飄風南自故國東遷、刺公子於大東投譖人於南北、困後怨斗
HVH_019_0025_0004	柄之西廢嫡歎池流之北、胡不自北胡不自南東人之子西人之子
HVH_019_0025_0005	南有箕北有斗東有明明西有庚、笙磬同音樂歌南雅山川悠
HVH_019_0025_0006	遠怨賊東征、南山律、南山巖、投畀有北我征徂西
HVH_019_0025_0007	陜北山則士子偕、節南山則師尹赫、
HVH_019_0025_0008	以上方位門
HVH_019_0025_0009	妻黨盛而聚子以史黃皇父卿士仲允膳夫毫權日甚女謁行而番
HVH_019_0025_0010	維司徒蹶維趣馬憍維師氏朋比相連、得衛巫而國人莫敢言
HVH_019_0025_0011	用粢斐而諸侯不來享、蘇公被譖而鬼蜮歌巷伯遭讒而姜
HVH_019_0025_0012	斐味、厲王不聽芮良夫之諫幽王惟用虢射父之謀、羣小市
HVH_019_0025_0013	於朝廷專權者皇父嬰媵惑於宮寢煽處者艷妻、召穆公諫
HVH_019_0025_0014	厲王以及難、伯陽甫知幽王之將亡、熊渠起事於庸粵衛項籋
HVH_019_0025_0015	雄於邶鄘、白華之悲也以黜申后小弁之怨也以放宜臼
HVH_019_0025_0016	以上人品門
HVH_019_0025_0017	四國無政二人從行、四方廉聘百川沸騰、暑徂六月地震三
HVH_019_0025_0018	川、戰伐者七十二國之士凌夷者一十五王之堂、詛諫則物出
HVH_019_0025_0019	以三憂乱則奔腓其百、日食憂心於十月忾人致慨於三秋、
