HVH_019_0027_0001	民困於馳驅雉離於罿予逢乎災害 傷哉賊之以
HVH_019_0027_0002	訏士民其瘵痛鳴鴞之釀乱罪罟不收 雊在梁鶴在林羊下來牛
HVH_019_0027_0003	下括 雄鷄 雉断尾果蠃負蛉 有鳥高飛瞻烏爰止
HVH_019_0027_0004	哀今之人爲虺爲蜴傷內之瞏如蜩如螗 相彼投兔如彼飛蟲
HVH_019_0027_0005	有兔爰爰鳴蜩嘒嘒 猱升於木豕涉於波魚在於沼鷄栖於塒
HVH_019_0027_0006	〇趯趯者兔甡甡者鹿营营者蠅提提者鷺 以上動物門
HVH_019_0027_0007	植物 莫我敢葵曷云能穀 至今爲梗疾用無枝 至於坰野降此鞠
HVH_019_0027_0008	內 卜則擇粟田則汙萊 貪人荼毒終口萋斐 病賦興
HVH_019_0027_0009	棘匕之歌因役傷葛屨之履 歎遇人於摧谷思讎道於楊
HVH_019_0027_0010	龍崗 園 桑梓興言夫恭敬尊蕿致歎於劬勞 憂乱傷心於葛
HVH_019_0027_0011	藟思親託賦夫萑葦 草何爲而茂乎周道黍何爲而離乎故
HVH_019_0027_0012	宮 念父母者薺葛莫辯問王室者黍稷莫分 柔桑穉未癭
HVH_019_0027_0013	此下民稼穡卒癉哀此中國 諸侯不朝而歌菀柳黎民鮮食
HVH_019_0027_0014	而賦苔華 故宮禾黍下泉蕭稂 采蕭穫菽伐木析薪
HVH_019_0027_0015	以薪以蒸候栗候梅 告哀者歲薇與杞栵並詠憂心者菀柳
HVH_019_0027_0016	與萑葦同歌 中原有菽中谷有蓷 寫彼幽草薜言彼阪
HVH_019_0027_0017	木如彼棲苴樵彼桑薪 束楚束薪束芻采葛采蕭采艾
HVH_019_0027_0018	有麻有麥有李 以上植物門
