HVH_019_0034_0001	大甲三篇格王正事武丁一夢審象求賢沃丁隆禮而報功（伊尹）
HVH_019_0034_0002	帝乙傳位而不誥（微子）總己哈治（傳說）王子出廸（微子）申誥於嗣王
HVH_019_0034_0003	己任以天下（伊尹）左右宅師（伊尹）往來市井（膠鬲）旅
HVH_019_0034_0004	哀剖楚（傳說）過悔桐宮（伊尹）震伐鬼方（傳說）遜於荒野（微子）用爽厥
HVH_019_0034_0005	師（箕子）追琢其旅（微子）存行遜之志（箕子）尽火師之心（比干）宅師佐主
HVH_019_0034_0006	負鼎說湯咸有一德復政厥辟族乃離以陳戒隔既介以救
HVH_019_0034_0007	民（以上伊尹） 以上卦名門
HVH_019_0034_0008	夔叶水東（伊尹）身居海北（夷齊）北門入而遇賢（伊尹）南巢放而作誥
HVH_019_0034_0009	萊朱東維乘而神託於星（傳說）西山登而歌寄於隱（夷齊）作容西
HVH_019_0034_0010	龍岡 雖來賓東夏（微子）以上方位門 藏板
HVH_019_0034_0011	戮力齊同心一朝獨尊為元老宅師称良弼再世特重夫元勲
HVH_019_0034_0012	伊尹以割烹傳說以版築膠鬲以魚鹽微子縛以面箕子被以髮比
HVH_019_0034_0013	干剖以心本惟一惟精之旨嚴非道非義之防具先知先覺之才
HVH_019_0034_0014	苟斯世斯民之信和聞醉者敬悟覺兮（以上伊尹）修禮物以賓王家
HVH_019_0034_0015	慎服用以蓄王室祖功徒陳於上而笑降由天家髦尽遜於荒而
HVH_019_0034_0016	狂發自我（以上微子）但對先王而自靖自獻豈向他人而為僕為臣
HVH_019_0034_0017	唏其苟長較重（以上箕子）當年獨剖其心焚矣長奸雄之膽
HVH_019_0034_0018	隔代猶封其墓馨香報忠義之魂（比干）以上人品門
